millis(), steeringRef, steering sensor, acceleration
406160, 128,    126,    0
406191, 128,    129,    0
406222, 128,    130,    0
406253, 128,    130,    0
406283, 128,    135,    0
406313, 128,    126,    0
406345, 128,    128,    0
406376, 128,    126,    0
406407, 128,    126,    0
406439, 128,    128,    0
406469, 128,    126,    0
406500, 128,    131,    0
406531, 128,    135,    0
406563, 128,    129,    0
406593, 128,    124,    0
406625, 128,    129,    0
406656, 128,    135,    0
406687, 128,    133,    0
406718, 128,    126,    0
406749, 128,    129,    0
406780, 128,    126,    0
406811, 128,    128,    0
406841, 128,    126,    0
406872, 128,    135,    0
406903, 128,    128,    0
406935, 128,    126,    0
406966, 128,    130,    0
406998, 128,    130,    0
407029, 128,    128,    0
407059, 128,    126,    0
407090, 128,    124,    0
407122, 128,    133,    0
407153, 128,    129,    0
407184, 128,    134,    0
407215, 128,    135,    0
407245, 128,    126,    0
407276, 128,    135,    0
407307, 128,    126,    0
407337, 128,    130,    0
407370, 128,    135,    0
407401, 128,    124,    0
407432, 128,    128,    0
407462, 128,    128,    0
407493, 128,    135,    0
407525, 128,    134,    0
407556, 128,    126,    0
407586, 128,    135,    0
407618, 128,    135,    0
407648, 128,    134,    0
407680, 128,    135,    0
407711, 128,    135,    0
407742, 128,    135,    0
407772, 128,    126,    0
407803, 128,    128,    0
407834, 128,    126,    0
407865, 128,    133,    0
407897, 128,    134,    0
407928, 128,    128,    0
407959, 128,    127,    0
407990, 128,    135,    0
408020, 128,    126,    0
408053, 128,    128,    0
408083, 128,    126,    0
408115, 128,    130,    0
408145, 128,    135,    0
408177, 128,    135,    0
408208, 128,    128,    0
408238, 128,    126,    0
408269, 128,    129,    0
408300, 128,    124,    0
408331, 128,    128,    0
408363, 128,    135,    0
408394, 128,    135,    0
408425, 128,    124,    0
408456, 128,    129,    0
408486, 128,    130,    0
408517, 128,    126,    0
408548, 128,    128,    0
408580, 128,    124,    0
408611, 128,    126,    0
408642, 128,    128,    0
408672, 128,    135,    0
408704, 128,    134,    0
408735, 128,    129,    0
408766, 128,    135,    0
408797, 128,    135,    0
408827, 128,    135,    0
408858, 128,    128,    0
408889, 128,    130,    0
408921, 128,    129,    0
408951, 128,    128,    0
408983, 128,    127,    0
409013, 128,    135,    0
409046, 128,    129,    0
409076, 128,    126,    0
409107, 128,    135,    0
409139, 128,    124,    0
409170, 128,    126,    0
409200, 128,    129,    0
409231, 128,    135,    0
409263, 128,    126,    0
409294, 128,    129,    0
409324, 128,    135,    0
409356, 128,    134,    0
409385, 128,    135,    0
409417, 128,    127,    0
409448, 128,    135,    0
409479, 128,    124,    0
409511, 128,    130,    0
409542, 128,    128,    0
409572, 128,    133,    0
409603, 128,    128,    0
409634, 128,    129,    0
409666, 128,    128,    0
409696, 128,    128,    0
409726, 128,    129,    0
409758, 128,    134,    0
409790, 128,    130,    0
409821, 128,    135,    0
409851, 128,    130,    0
409883, 128,    126,    0
409914, 128,    129,    0
409944, 128,    128,    0
409976, 128,    130,    0
410006, 128,    126,    0
Benchmark has begun (255 to 128)
410071, 255,    128,    0
410103, 255,    130,    0
410133, 255,    130,    0
410166, 255,    129,    0
410199, 255,    126,    0
410231, 255,    141,    0
410264, 255,    170,    0
410297, 255,    193,    0
410330, 255,    213,    0
410361, 255,    227,    0
410393, 255,    254,    0
410424, 255,    258,    0
410455, 255,    251,    0
410486, 255,    256,    0
410517, 255,    255,    0
410548, 255,    258,    0
410579, 255,    251,    0
410610, 255,    251,    0
410641, 255,    258,    0
410672, 255,    256,    0
410703, 255,    258,    0
410734, 255,    255,    0
410765, 255,    251,    0
410796, 255,    251,    0
410827, 255,    252,    0
410858, 255,    256,    0
410889, 128,    255,    0
410921, 128,    255,    0
410954, 128,    255,    0
410986, 128,    258,    0
411019, 128,    256,    0
411052, 128,    252,    0
411084, 128,    255,    0
411114, 128,    242,    0
411147, 128,    206,    0
411180, 128,    174,    0
End to end took: 342
411242, 128,    116,    0
411272, 128,    83, 0
411303, 128,    68, 0
411334, 128,    63, 0
411366, 128,    61, 0
411397, 128,    60, 0
411428, 128,    66, 0
411459, 128,    70, 0
411489, 128,    65, 0
411520, 128,    68, 0
411551, 128,    86, 0
411583, 128,    103,    0
411613, 128,    116,    0
411644, 128,    124,    0
411675, 128,    144,    0
411706, 128,    147,    0
411738, 128,    146,    0
411768, 128,    146,    0
411799, 128,    149,    0
411830, 128,    151,    0
411860, 128,    152,    0
411893, 128,    154,    0
411923, 128,    149,    0
411955, 128,    153,    0
411986, 128,    146,    0
412016, 128,    154,    0
412048, 128,    147,    0
412078, 128,    146,    0
412109, 128,    146,    0
412141, 128,    147,    0
412171, 128,    148,    0
412203, 128,    147,    0
412233, 128,    149,    0
412264, 128,    149,    0
412296, 128,    149,    0
412326, 128,    147,    0
412358, 128,    146,    0
412389, 128,    147,    0
412420, 128,    149,    0
412451, 128,    147,    0
412481, 128,    146,    0
412513, 128,    147,    0
412542, 128,    149,    0
