millis(), steeringRef, steering sensor, acceleration
1051459,	128,	122,	0
1051490,	128,	128,	0
1051520,	128,	121,	0
1051551,	128,	119,	0
1051582,	128,	127,	0
1051614,	128,	117,	0
1051645,	128,	121,	0
1051675,	128,	121,	0
1051706,	128,	127,	0
1051737,	128,	117,	0
1051768,	128,	117,	0
1051800,	128,	123,	0
1051830,	128,	121,	0
1051860,	128,	122,	0
1051892,	128,	120,	0
1051924,	128,	121,	0
1051955,	128,	127,	0
1051986,	128,	117,	0
1052016,	128,	120,	0
1052047,	128,	121,	0
1052079,	128,	122,	0
1052110,	128,	121,	0
1052140,	128,	121,	0
1052171,	128,	121,	0
1052201,	128,	127,	0
1052234,	128,	121,	0
1052265,	128,	121,	0
1052295,	128,	118,	0
1052326,	128,	124,	0
1052357,	128,	127,	0
1052389,	128,	117,	0
1052419,	128,	118,	0
1052451,	128,	127,	0
1052481,	128,	118,	0
1052513,	128,	119,	0
1052542,	128,	121,	0
1052575,	128,	127,	0
1052605,	128,	122,	0
1052637,	128,	117,	0
1052668,	128,	123,	0
1052699,	128,	117,	0
1052730,	128,	117,	0
1052760,	128,	128,	0
1052792,	128,	119,	0
1052822,	128,	117,	0
1052854,	128,	128,	0
1052886,	128,	119,	0
1052916,	128,	121,	0
1052948,	128,	117,	0
1052979,	128,	121,	0
1053009,	128,	118,	0
1053040,	128,	117,	0
1053071,	128,	121,	0
1053103,	128,	122,	0
1053134,	128,	123,	0
1053165,	128,	127,	0
1053195,	128,	127,	0
1053227,	128,	121,	0
1053258,	128,	127,	0
1053289,	128,	128,	0
1053319,	128,	121,	0
1053351,	128,	127,	0
1053382,	128,	117,	0
1053412,	128,	120,	0
1053443,	128,	124,	0
1053475,	128,	128,	0
1053505,	128,	127,	0
1053536,	128,	121,	0
1053566,	128,	121,	0
1053598,	128,	117,	0
1053630,	128,	117,	0
1053661,	128,	121,	0
1053691,	128,	121,	0
1053723,	128,	117,	0
1053754,	128,	121,	0
1053785,	128,	117,	0
1053815,	128,	119,	0
1053847,	128,	128,	0
1053878,	128,	121,	0
1053908,	128,	118,	0
1053941,	128,	117,	0
1053972,	128,	117,	0
1054002,	128,	122,	0
1054034,	128,	121,	0
1054064,	128,	121,	0
1054096,	128,	118,	0
1054127,	128,	121,	0
1054157,	128,	118,	0
1054188,	128,	124,	0
1054220,	128,	122,	0
1054249,	128,	121,	0
1054281,	128,	123,	0
1054313,	128,	117,	0
1054344,	128,	128,	0
1054375,	128,	121,	0
1054405,	128,	124,	0
1054437,	128,	122,	0
1054468,	128,	123,	0
1054498,	128,	117,	0
1054530,	128,	119,	0
1054561,	128,	117,	0
1054592,	128,	122,	0
1054622,	128,	122,	0
1054654,	128,	117,	0
1054684,	128,	118,	0
1054715,	128,	121,	0
1054746,	128,	121,	0
1054778,	128,	121,	0
1054809,	128,	128,	0
1054840,	128,	121,	0
1054871,	128,	121,	0
1054901,	128,	124,	0
1054932,	128,	119,	0
1054965,	128,	119,	0
1054995,	128,	122,	0
1055026,	128,	124,	0
1055058,	128,	127,	0
1055089,	128,	117,	0
1055119,	128,	128,	0
1055150,	128,	118,	0
1055181,	128,	121,	0
1055213,	128,	121,	0
1055243,	128,	118,	0
1055273,	128,	120,	0
1055306,	128,	122,	0
1055337,	128,	126,	0
1055367,	128,	135,	0
1055398,	128,	129,	0
1055430,	128,	135,	0
1055461,	128,	129,	0
1055492,	128,	124,	0
1055522,	128,	135,	0
1055553,	128,	130,	0
1055584,	128,	134,	0
1055616,	128,	126,	0
1055646,	128,	128,	0
1055677,	128,	137,	0
1055708,	128,	129,	0
1055740,	128,	127,	0
1055770,	128,	130,	0
1055801,	128,	126,	0
1055832,	128,	129,	0
1055864,	128,	126,	0
1055895,	128,	129,	0
1055925,	128,	129,	0
1055958,	128,	129,	0
1055989,	128,	126,	0
1056019,	128,	128,	0
1056051,	128,	126,	0
1056082,	128,	126,	0
1056113,	128,	125,	0
1056144,	128,	136,	0
1056174,	128,	135,	0
1056205,	128,	124,	0
1056237,	128,	127,	0
1056267,	128,	126,	0
1056297,	128,	124,	0
1056329,	128,	137,	0
1056360,	128,	136,	0
1056391,	128,	126,	0
