millis(), steeringRef, steering sensor, acceleration
2029005,    128,    126,    0
2029035,    128,    128,    0
2029066,    128,    124,    0
2029099,    128,    135,    0
2029130,    128,    124,    0
2029161,    128,    126,    0
2029191,    128,    128,    0
2029222,    128,    130,    0
2029253,    128,    128,    0
2029285,    128,    129,    0
2029316,    128,    129,    0
2029346,    128,    129,    0
2029377,    128,    128,    0
2029408,    128,    135,    0
2029438,    128,    130,    0
2029470,    128,    132,    0
2029502,    128,    135,    0
2029533,    128,    139,    0
2029564,    128,    126,    0
2029594,    128,    130,    0
2029626,    128,    126,    0
2029657,    128,    132,    0
2029689,    128,    134,    0
2029720,    128,    129,    0
2029751,    128,    139,    0
2029782,    128,    131,    0
2029812,    128,    126,    0
2029843,    128,    132,    0
2029874,    128,    128,    0
2029905,    128,    129,    0
2029936,    128,    135,    0
2029967,    128,    126,    0
2029999,    128,    128,    0
2030029,    128,    126,    0
2030060,    128,    132,    0
2030091,    166,    130,    0
2030123,    166,    130,    0
2030154,    166,    139,    0
2030184,    190,    126,    0
2030216,    190,    135,    0
2030246,    190,    128,    0
2030278,    207,    126,    0
2030308,    207,    134,    0
2030339,    207,    129,    0
2030371,    225,    128,    0
2030401,    225,    132,    0
2030433,    240,    136,    0
2030462,    240,    141,    0
2030495,    240,    160,    0
2030525,    255,    172,    0
2030556,    255,    192,    0
2030588,    255,    204,    0
2030619,    255,    220,    0
2030650,    255,    235,    0
2030680,    255,    242,    0
2030711,    255,    245,    0
2030742,    255,    242,    0
2030774,    255,    227,    0
2030806,    255,    238,    0
2030837,    255,    232,    0
2030867,    255,    238,    0
2030899,    255,    244,    0
2030930,    255,    227,    0
2030961,    255,    232,    0
2030991,    255,    227,    0
2031022,    255,    227,    0
2031054,    255,    238,    0
2031084,    255,    245,    0
2031116,    255,    227,    0
2031145,    255,    241,    0
2031178,    255,    237,    0
2031209,    255,    232,    0
2031240,    255,    241,    0
2031270,    255,    232,    0
2031302,    255,    242,    0
2031332,    255,    241,    0
2031363,    255,    237,    0
2031395,    255,    227,    0
2031425,    255,    227,    0
2031457,    255,    229,    0
2031486,    255,    232,    0
2031518,    192,    227,    0
2031549,    192,    241,    0
2031580,    192,    244,    0
2031611,    0,  241,    0
2031642,    0,  227,    0
2031674,    0,  241,    0
2031705,    0,  241,    0
2031736,    0,  242,    0
2031766,    0,  226,    0
2031797,    0,  200,    0
2031828,    0,  176,    0
2031861,    0,  153,    0
2031892,    0,  128,    0
2031923,    0,  96, 0
2031954,    0,  76, 0
2031985,    0,  64, 0
2032016,    0,  61, 0
2032046,    0,  59, 0
2032077,    0,  58, 0
2032109,    0,  66, 0
2032139,    0,  68, 0
2032171,    0,  67, 0
2032201,    0,  66, 0
2032233,    0,  68, 0
2032263,    0,  67, 0
2032295,    0,  68, 0
2032326,    0,  70, 0
2032356,    0,  79, 0
2032388,    0,  84, 0
2032419,    0,  83, 0
2032449,    0,  84, 0
2032480,    0,  82, 0
2032512,    0,  83, 0
2032542,    0,  88, 0
2032573,    0,  84, 0
2032605,    0,  83, 0
2032635,    0,  85, 0
2032666,    0,  90, 0
2032698,    0,  83, 0
2032728,    0,  89, 0
2032759,    0,  80, 0
2032791,    0,  84, 0
2032821,    0,  83, 0
2032852,    0,  82, 0
2032884,    33, 84, 0
2032915,    33, 82, 0
2032947,    33, 84, 0
2032978,    255,    83, 0
2033008,    255,    85, 0
2033039,    255,    94, 0
2033071,    255,    119,    0
2033101,    255,    141,    0
2033133,    255,    177,    0
2033163,    255,    204,    0
2033195,    255,    213,    0
2033225,    255,    242,    0
2033256,    255,    239,    0
2033288,    255,    246,    0
2033318,    255,    248,    0
2033349,    255,    246,    0
2033380,    255,    255,    0
2033411,    255,    245,    0
2033442,    255,    248,    0
2033474,    255,    238,    0
2033505,    255,    239,    0
2033536,    255,    254,    0
2033566,    255,    232,    0
2033597,    255,    244,    0
2033628,    255,    241,    0
2033660,    255,    242,    0
2033691,    255,    241,    0
2033722,    255,    229,    0
2033753,    255,    226,    0
2033783,    255,    242,    0
2033815,    255,    226,    0
2033845,    255,    225,    0
2033878,    255,    229,    0
2033909,    255,    241,    0
2033939,    255,    231,    0
2033970,    255,    229,    0
2034002,    255,    235,    0
2034033,    255,    225,    0
2034064,    128,    241,    0
2034094,    128,    225,    0
2034126,    128,    226,    0
2034156,    128,    241,    0
2034188,    128,    230,    0
2034219,    128,    229,    0
2034249,    128,    187,    0
2034281,    128,    158,    0
2034312,    128,    120,    0
2034343,    128,    86, 0
2034374,    128,    63, 0
2034405,    128,    49, 0
2034435,    128,    36, 0
2034467,    128,    36, 0
2034498,    128,    38, 0
2034528,    128,    39, 0
2034560,    128,    45, 0
2034591,    128,    46, 0
2034621,    128,    45, 0
2034653,    128,    43, 0
2034683,    128,    55, 0
2034714,    128,    68, 0
2034746,    128,    80, 0
2034776,    128,    90, 0
2034808,    128,    98, 0
2034838,    128,    103,    0
2034869,    128,    109,    0
2034900,    128,    109,    0
2034933,    128,    113,    0
2034963,    128,    109,    0
2034995,    128,    109,    0
2035026,    128,    113,    0
2035056,    128,    109,    0
2035088,    128,    105,    0
2035119,    128,    107,    0
2035149,    128,    107,    0
2035181,    128,    105,    0
2035211,    128,    109,    0
2035243,    128,    107,    0
2035273,    128,    113,    0
2035305,    0,  107,    0
2035335,    0,  110,    0
2035367,    0,  107,    0
2035397,    0,  107,    0
2035428,    0,  107,    0
2035460,    0,  113,    0
2035490,    0,  94, 0
2035522,    0,  58, 0
2035552,    0,  28, 0
2035582,    0,  -4, 0
2035614,    0,  -13,    0
2035646,    0,  -23,    0
2035676,    0,  -15,    0
2035708,    0,  -14,    0
2035739,    0,  -17,    0
2035769,    0,  -15,    0
2035801,    0,  -14,    0
2035831,    0,  -12,    0
2035862,    0,  -15,    0
2035894,    0,  -23,    0
2035926,    0,  -19,    0
2035956,    0,  -12,    0
2035987,    0,  -15,    0
2036018,    0,  -23,    0
2036049,    0,  -22,    0
2036081,    0,  -11,    0
2036111,    0,  -12,    0
2036142,    0,  -20,    0
2036174,    0,  -22,    0
2036204,    0,  -14,    0
2036236,    0,  -17,    0
2036267,    0,  -14,    0
2036297,    0,  -11,    0
2036328,    0,  -13,    0
2036360,    0,  -15,    0
2036390,    128,    -13,    0
2036421,    128,    -13,    0
2036452,    128,    -12,    0
2036484,    128,    -20,    0
2036514,    128,    -12,    0
2036546,    128,    -17,    0
2036577,    128,    -10,    0
2036608,    128,    -7, 0
2036638,    128,    22, 0
2036670,    128,    56, 0
2036701,    128,    82, 0
2036732,    128,    115,    0
2036763,    128,    132,    0
2036793,    128,    149,    0
2036824,    128,    167,    0
2036856,    128,    166,    0
2036886,    128,    165,    0
