millis(), steeringRef, steering sensor, acceleration
2110401,    128,    126,    0
2110432,    128,    126,    0
2110462,    128,    124,    0
2110494,    128,    128,    0
2110525,    128,    128,    0
2110557,    128,    126,    0
2110588,    128,    135,    0
2110619,    128,    126,    0
2110649,    128,    124,    0
2110680,    128,    129,    0
2110712,    128,    127,    0
2110742,    128,    135,    0
2110774,    128,    125,    0
2110806,    128,    135,    0
2110837,    128,    133,    0
2110867,    128,    135,    0
2110898,    128,    128,    0
2110929,    128,    135,    0
2110960,    128,    128,    0
2110992,    128,    124,    0
2111023,    128,    133,    0
2111054,    128,    126,    0
2111084,    128,    125,    0
2111116,    128,    135,    0
2111145,    128,    127,    0
2111177,    128,    135,    0
2111209,    128,    135,    0
2111240,    128,    126,    0
2111271,    128,    135,    0
2111301,    128,    128,    0
2111332,    128,    125,    0
2111363,    128,    125,    0
2111395,    128,    125,    0
2111425,    128,    126,    0
2111457,    128,    128,    0
2111486,    128,    128,    0
2111519,    128,    126,    0
2111549,    128,    128,    0
2111581,    128,    124,    0
2111612,    128,    128,    0
2111643,    128,    135,    0
2111673,    128,    129,    0
2111704,    128,    126,    0
2111735,    128,    128,    0
2111766,    128,    129,    0
2111798,    128,    124,    0
2111828,    128,    125,    0
2111861,    128,    134,    0
2111891,    128,    135,    0
2111923,    128,    130,    0
2111953,    128,    134,    0
2111985,    128,    125,    0
2112016,    128,    124,    0
2112047,    128,    133,    0
2112078,    128,    128,    0
2112108,    128,    128,    0
2112139,    128,    135,    0
2112169,    128,    126,    0
2112202,    128,    126,    0
2112233,    128,    128,    0
2112265,    128,    126,    0
2112296,    128,    133,    0
2112327,    128,    126,    0
2112357,    128,    134,    0
2112388,    128,    135,    0
2112420,    128,    124,    0
2112451,    128,    124,    0
2112482,    142,    135,    0
2112512,    142,    128,    0
2112543,    142,    126,    0
2112574,    156,    126,    0
2112606,    156,    127,    0
2112637,    169,    127,    0
2112668,    169,    126,    0
2112698,    169,    125,    0
2112730,    255,    139,    0
2112760,    255,    145,    0
2112792,    255,    148,    0
2112822,    255,    164,    0
2112852,    255,    183,    0
2112885,    255,    220,    0
2112915,    255,    230,    0
2112946,    255,    244,    0
2112977,    255,    258,    0
2113009,    255,    251,    0
2113039,    255,    251,    0
2113071,    255,    258,    0
2113101,    255,    258,    0
2113133,    255,    255,    0
2113163,    255,    256,    0
2113195,    255,    256,    0
2113226,    255,    256,    0
2113257,    255,    255,    0
2113287,    255,    255,    0
2113318,    255,    258,    0
2113349,    255,    258,    0
2113380,    255,    252,    0
2113412,    255,    255,    0
2113442,    255,    252,    0
2113474,    255,    251,    0
2113504,    255,    258,    0
2113536,    255,    255,    0
2113566,    255,    256,    0
2113598,    255,    252,    0
2113628,    119,    258,    0
2113660,    119,    258,    0
2113690,    119,    251,    0
2113721,    128,    255,    0
2113753,    128,    256,    0
2113783,    128,    255,    0
2113814,    128,    255,    0
2113845,    128,    251,    0
2113876,    128,    245,    0
2113909,    128,    225,    0
2113939,    128,    219,    0
2113971,    128,    210,    0
2114001,    128,    198,    0
2114032,    128,    191,    0
2114064,    128,    176,    0
2114094,    128,    174,    0
2114126,    128,    184,    0
2114156,    128,    175,    0
2114187,    128,    175,    0
2114217,    128,    179,    0
2114250,    128,    175,    0
2114281,    128,    174,    0
2114311,    128,    175,    0
2114342,    128,    179,    0
2114373,    128,    174,    0
2114405,    128,    174,    0
2114435,    0,  181,    0
2114466,    0,  174,    0
2114497,    0,  185,    0
2114529,    0,  174,    0
2114558,    0,  151,    0
2114591,    0,  127,    0
2114621,    0,  106,    0
2114652,    0,  83, 0
2114683,    0,  60, 0
2114715,    0,  33, 0
2114746,    0,  20, 0
2114777,    0,  11, 0
2114807,    0,  15, 0
2114839,    0,  11, 0
2114869,    0,  16, 0
2114902,    0,  16, 0
2114932,    0,  11, 0
2114963,    0,  15, 0
2114995,    0,  13, 0
2115025,    0,  13, 0
2115056,    0,  13, 0
2115088,    0,  9,  0
2115118,    0,  15, 0
2115150,    0,  9,  0
2115180,    0,  13, 0
2115211,    0,  14, 0
2115243,    128,    11, 0
2115273,    128,    8,  0
2115305,    128,    13, 0
2115336,    128,    19, 0
2115367,    128,    22, 0
2115398,    128,    20, 0
2115429,    128,    37, 0
2115460,    128,    59, 0
2115490,    128,    90, 0
2115522,    128,    105,    0
2115552,    128,    125,    0
2115582,    128,    136,    0
2115614,    128,    150,    0
2115646,    128,    151,    0
2115676,    128,    165,    0
2115708,    128,    165,    0
2115739,    128,    151,    0
2115770,    128,    158,    0
2115800,    128,    153,    0
2115831,    128,    151,    0
2115863,    128,    158,    0
2115893,    128,    157,    0
2115924,    128,    155,    0
2115957,    249,    151,    0
2115987,    249,    151,    0
2116018,    249,    155,    0
2116049,    255,    150,    0
2116080,    255,    164,    0
2116112,    255,    179,    0
2116142,    255,    195,    0
2116173,    255,    210,    0
2116204,    255,    228,    0
2116236,    255,    237,    0
2116267,    255,    245,    0
2116298,    255,    256,    0
2116328,    255,    258,    0
2116360,    255,    255,    0
2116390,    255,    252,    0
