millis(), steeringRef, steering sensor, acceleration
2234272,    128,    127,    0
2234303,    128,    128,    0
2234333,    128,    128,    0
2234365,    128,    126,    0
2234395,    128,    128,    0
2234427,    128,    134,    0
2234458,    128,    135,    0
2234488,    128,    130,    0
2234519,    128,    129,    0
2234550,    128,    134,    0
2234580,    128,    128,    0
2234612,    128,    127,    0
2234644,    128,    129,    0
2234675,    128,    130,    0
2234706,    128,    125,    0
2234736,    128,    128,    0
2234768,    128,    124,    0
2234798,    128,    134,    0
2234829,    128,    135,    0
2234861,    128,    133,    0
2234892,    128,    127,    0
2234923,    128,    134,    0
2234953,    128,    135,    0
2234984,    128,    124,    0
2235016,    128,    129,    0
2235047,    128,    134,    0
2235077,    128,    125,    0
2235108,    128,    135,    0
2235140,    128,    132,    0
2235170,    128,    124,    0
2235201,    128,    135,    0
2235232,    128,    135,    0
2235262,    128,    133,    0
2235294,    128,    128,    0
2235325,    128,    125,    0
2235357,    128,    135,    0
2235388,    128,    133,    0
2235419,    128,    124,    0
2235449,    128,    134,    0
2235480,    128,    125,    0
2235511,    128,    128,    0
2235542,    128,    134,    0
2235574,    128,    127,    0
2235606,    128,    134,    0
2235636,    128,    129,    0
2235667,    128,    128,    0
2235698,    128,    124,    0
2235729,    128,    134,    0
2235761,    128,    134,    0
2235792,    128,    127,    0
2235823,    128,    127,    0
2235853,    128,    129,    0
2235884,    128,    124,    0
2235916,    128,    124,    0
2235945,    128,    129,    0
2235978,    128,    126,    0
2236009,    128,    130,    0
2236040,    128,    134,    0
2236070,    128,    135,    0
2236101,    128,    126,    0
2236132,    128,    129,    0
2236163,    128,    132,    0
2236194,    128,    135,    0
2236225,    128,    128,    0
2236257,    128,    128,    0
2236288,    128,    124,    0
2236319,    128,    125,    0
2236349,    128,    127,    0
2236380,    128,    126,    0
2236411,    128,    127,    0
2236442,    128,    134,    0
2236474,    128,    135,    0
2236505,    128,    129,    0
2236536,    128,    132,    0
2236566,    128,    130,    0
2236597,    128,    134,    0
2236628,    128,    128,    0
2236661,    128,    132,    0
2236692,    128,    124,    0
2236724,    128,    127,    0
2236754,    128,    133,    0
2236786,    128,    126,    0
2236817,    128,    127,    0
2236848,    128,    125,    0
2236878,    128,    133,    0
2236910,    128,    125,    0
2236941,    128,    135,    0
2236971,    128,    128,    0
2237003,    128,    126,    0
2237033,    128,    125,    0
2237065,    128,    134,    0
2237095,    128,    125,    0
2237127,    128,    128,    0
2237157,    128,    129,    0
2237188,    128,    130,    0
2237219,    128,    125,    0
2237250,    128,    129,    0
2237282,    128,    127,    0
2237313,    128,    135,    0
2237344,    128,    128,    0
2237374,    128,    128,    0
2237406,    128,    124,    0
2237436,    128,    133,    0
2237468,    128,    133,    0
2237499,    128,    127,    0
2237529,    128,    135,    0
2237561,    128,    135,    0
2237591,    128,    133,    0
2237622,    128,    127,    0
2237652,    128,    134,    0
2237685,    128,    128,    0
2237715,    128,    124,    0
2237746,    128,    127,    0
2237778,    128,    135,    0
2237808,    128,    134,    0
2237840,    128,    128,    0
2237870,    128,    129,    0
2237901,    128,    127,    0
2237932,    128,    124,    0
2237963,    128,    124,    0
2237995,    128,    134,    0
2238026,    128,    125,    0
2238057,    128,    125,    0
2238088,    128,    134,    0
2238118,    128,    135,    0
2238149,    128,    127,    0
2238180,    128,    128,    0
2238212,    128,    133,    0
2238242,    128,    125,    0
2238274,    128,    128,    0
2238305,    128,    129,    0
2238336,    128,    124,    0
2238366,    128,    134,    0
2238397,    128,    135,    0
2238428,    128,    126,    0
2238459,    128,    125,    0
2238491,    128,    135,    0
2238521,    128,    133,    0
2238552,    128,    124,    0
2238583,    128,    133,    0
2238615,    128,    124,    0
2238646,    128,    124,    0
2238676,    128,    126,    0
2238709,    128,    127,    0
2238740,    128,    125,    0
2238771,    128,    125,    0
2238801,    128,    129,    0
2238832,    128,    124,    0
2238863,    128,    134,    0
2238894,    128,    135,    0
2238925,    128,    132,    0
2238956,    128,    128,    0
2238988,    128,    127,    0
2239019,    128,    134,    0
2239050,    128,    129,    0
2239080,    128,    135,    0
2239111,    128,    126,    0
2239143,    128,    125,    0
2239173,    128,    125,    0
2239205,    128,    125,    0
2239236,    128,    128,    0
2239267,    128,    127,    0
2239297,    128,    135,    0
2239328,    128,    128,    0
2239358,    128,    133,    0
2239391,    128,    134,    0
2239422,    128,    124,    0
2239452,    128,    127,    0
