millis(), steeringRef, steering sensor, acceleration
786637, 128,    138,    0
786667, 128,    142,    0
786699, 128,    137,    0
786729, 128,    138,    0
786761, 128,    137,    0
786792, 128,    141,    0
786824, 128,    138,    0
786855, 128,    141,    0
786885, 128,    141,    0
786916, 128,    138,    0
786947, 128,    147,    0
786979, 128,    143,    0
787010, 128,    141,    0
787040, 128,    138,    0
787070, 128,    141,    0
787102, 128,    141,    0
787134, 128,    141,    0
787165, 128,    138,    0
787196, 128,    139,    0
787226, 128,    147,    0
787257, 128,    141,    0
787288, 128,    138,    0
787319, 128,    143,    0
787351, 128,    137,    0
787382, 128,    138,    0
787414, 128,    147,    0
787445, 128,    143,    0
787475, 128,    141,    0
787506, 128,    138,    0
787538, 128,    143,    0
787569, 128,    141,    0
787600, 128,    141,    0
787630, 128,    138,    0
787661, 128,    137,    0
787692, 128,    147,    0
787723, 128,    143,    0
787755, 128,    141,    0
787786, 128,    147,    0
787817, 128,    138,    0
787847, 128,    141,    0
787878, 128,    141,    0
787910, 128,    137,    0
787941, 128,    143,    0
787972, 128,    138,    0
788002, 128,    143,    0
788033, 128,    138,    0
788064, 128,    144,    0
788096, 128,    144,    0
788127, 128,    147,    0
788158, 128,    138,    0
788189, 128,    144,    0
788219, 128,    141,    0
788251, 128,    138,    0
788282, 128,    144,    0
788313, 128,    141,    0
788343, 128,    141,    0
788374, 128,    137,    0
788405, 128,    147,    0
788438, 128,    138,    0
788469, 128,    138,    0
788500, 128,    143,    0
788531, 128,    143,    0
788561, 128,    138,    0
788592, 255,    138,    0
788623, 255,    137,    0
788654, 255,    147,    0
788686, 255,    141,    0
788717, 255,    145,    0
788747, 255,    138,    0
788779, 255,    147,    0
788810, 255,    147,    0
788841, 255,    145,    0
788872, 255,    148,    0
788903, 255,    149,    0
788933, 255,    156,    0
788965, 255,    185,    0
788996, 255,    183,    0
789026, 255,    206,    0
789057, 255,    202,    0
789088, 255,    213,    0
789118, 255,    213,    0
789150, 255,    229,    0
789182, 255,    221,    0
789212, 255,    220,    0
789243, 255,    213,    0
789275, 255,    217,    0
789306, 255,    213,    0
789337, 255,    213,    0
789368, 255,    217,    0
789399, 255,    217,    0
789429, 255,    213,    0
789460, 255,    221,    0
789492, 255,    213,    0
789523, 255,    213,    0
789554, 255,    213,    0
789586, 128,    213,    0
789617, 128,    219,    0
789648, 128,    213,    0
789678, 128,    213,    0
789709, 128,    213,    0
789740, 128,    213,    0
789772, 128,    213,    0
789803, 128,    219,    0
789834, 128,    208,    0
789864, 128,    207,    0
789896, 128,    195,    0
789926, 128,    184,    0
789958, 128,    149,    0
789988, 128,    137,    0
790019, 128,    123,    0
790050, 128,    115,    0
790082, 128,    106,    0
790113, 128,    102,    0
790144, 128,    104,    0
790174, 128,    109,    0
790206, 128,    106,    0
790237, 128,    100,    0
790267, 128,    104,    0
790298, 128,    109,    0
790329, 128,    104,    0
790360, 128,    104,    0
790391, 128,    109,    0
790423, 128,    106,    0
790454, 128,    100,    0
790486, 128,    106,    0
790517, 128,    102,    0
790547, 128,    103,    0
790579, 110,    104,    0
790610, 110,    104,    0
790641, 110,    109,    0
790672, 0,  102,    0
790702, 0,  102,    0
790733, 0,  100,    0
790764, 0,  103,    0
790795, 0,  103,    0
790825, 0,  104,    0
790858, 0,  92, 0
790889, 0,  71, 0
790919, 0,  54, 0
790950, 0,  40, 0
790982, 0,  23, 0
791013, 0,  1,  0
791043, 0,  -2, 0
791075, 0,  -17,    0
791106, 0,  -11,    0
791137, 0,  -17,    0
791168, 0,  -20,    0
791198, 0,  -11,    0
791230, 0,  -12,    0
791261, 0,  -17,    0
791292, 0,  -13,    0
791322, 0,  -13,    0
791354, 0,  -11,    0
791385, 0,  -11,    0
791415, 0,  -9, 0
791447, 0,  -9, 0
791477, 0,  -13,    0
791508, 0,  -9, 0
791540, 0,  -9, 0
791571, 0,  -9, 0
791603, 0,  -13,    0
791633, 0,  -9, 0
791665, 128,    -11,    0
791696, 128,    -19,    0
791726, 128,    -19,    0
791758, 128,    -19,    0
791789, 128,    -13,    0
791820, 128,    -3, 0
791851, 128,    -10,    0
791881, 128,    5,  0
791912, 128,    35, 0
791944, 128,    51, 0
791974, 128,    73, 0
792006, 128,    96, 0
792036, 128,    114,    0
792068, 128,    122,    0
792098, 128,    128,    0
792130, 128,    128,    0
792161, 128,    124,    0
792192, 128,    123,    0
792222, 128,    128,    0
792253, 128,    123,    0
792285, 128,    120,    0
792315, 128,    120,    0
792347, 128,    121,    0
792377, 128,    124,    0
792408, 128,    123,    0
792439, 128,    122,    0
792470, 128,    120,    0
792502, 128,    122,    0
792534, 128,    128,    0
792565, 128,    123,    0
792595, 128,    120,    0
792627, 128,    126,    0
792657, 198,    123,    0
792688, 198,    128,    0
792719, 198,    128,    0
792751, 255,    121,    0
792782, 255,    128,    0
792812, 255,    128,    0
792844, 255,    129,    0
792875, 255,    149,    0
792906, 255,    162,    0
792937, 255,    190,    0
792967, 255,    193,    0
792998, 255,    206,    0
793029, 255,    221,    0
793060, 255,    223,    0
793091, 255,    224,    0
793122, 255,    231,    0
793154, 255,    225,    0
793184, 255,    240,    0
793214, 255,    235,    0
793247, 255,    226,    0
793277, 255,    240,    0
793309, 255,    226,    0
793339, 255,    240,    0
793370, 255,    229,    0
793401, 255,    225,    0
793432, 255,    234,    0
793464, 255,    226,    0
793494, 255,    225,    0
793525, 255,    234,    0
793558, 255,    229,    0
793588, 255,    225,    0
793620, 255,    235,    0
793651, 255,    223,    0
793681, 255,    229,    0
793712, 207,    240,    0
793743, 207,    225,    0
793774, 207,    240,    0
793806, 128,    235,    0
793836, 128,    224,    0
793868, 128,    225,    0
793897, 128,    229,    0
793930, 128,    229,    0
793961, 128,    240,    0
793992, 128,    226,    0
794022, 128,    219,    0
794053, 128,    206,    0
794084, 128,    192,    0
794115, 128,    165,    0
794146, 128,    149,    0
794177, 128,    140,    0
794209, 128,    123,    0
794240, 128,    113,    0
794271, 128,    114,    0
794301, 128,    113,    0
794332, 128,    107,    0
794363, 128,    109,    0
794394, 128,    116,    0
794426, 128,    111,    0
794457, 128,    111,    0
794488, 128,    107,    0
794518, 128,    114,    0
794549, 128,    108,    0
794580, 128,    107,    0
794612, 128,    107,    0
794644, 128,    116,    0
794675, 128,    116,    0
794706, 128,    107,    0
794737, 128,    115,    0
794768, 128,    113,    0
794799, 128,    111,    0
794829, 128,    111,    0
794861, 128,    116,    0
794892, 128,    107,    0
794921, 128,    113,    0
794953, 128,    116,    0
794984, 128,    114,    0
795015, 128,    111,    0
795047, 128,    110,    0
795078, 128,    113,    0
795108, 128,    114,    0
795140, 128,    111,    0
795170, 128,    116,    0
795202, 128,    115,    0
795232, 128,    115,    0
795262, 128,    116,    0
795295, 128,    108,    0
795326, 128,    112,    0
795357, 128,    115,    0
795387, 128,    114,    0
795419, 128,    111,    0
795449, 128,    112,    0
795481, 128,    116,    0
795512, 128,    111,    0
795543, 128,    111,    0
795574, 128,    111,    0
795604, 128,    112,    0
795637, 128,    112,    0
795668, 128,    111,    0
795699, 128,    112,    0
795729, 128,    116,    0
795760, 128,    113,    0
