millis, steerRef, sensorValue,  accel
6932,   128,    90, 0
6950,   128,    93, 0
6970,   128,    93, 0
6987,   128,    93, 0
7007,   128,    93, 0
7025,   128,    92, 0
7044,   128,    92, 0
7063,   128,    92, 0
7081,   128,    91, 0
7101,   128,    88, 0
7118,   128,    85, 0
7138,   128,    82, 0
7156,   128,    81, 0
7175,   128,    81, 0
7194,   128,    82, 0
7213,   128,    87, 0
7231,   128,    90, 0
7249,   128,    94, 0
7269,   128,    95, 0
7287,   128,    94, 0
7306,   128,    94, 0
7325,   128,    93, 0
7344,   128,    93, 0
7362,   128,    93, 0
7380,   128,    92, 0
7400,   128,    88, 0
7419,   128,    87, 0
7437,   128,    82, 0
7456,   128,    82, 0
7475,   128,    82, 0
7493,   128,    84, 0
7513,   128,    86, 0
7531,   128,    91, 0
7549,   128,    94, 0
7568,   128,    95, 0
7587,   128,    95, 0
7606,   128,    95, 0
7624,   128,    94, 0
7644,   128,    94, 0
7662,   128,    93, 0
7681,   128,    93, 0
7699,   128,    89, 0
7717,   128,    87, 0
7737,   128,    84, 0
7755,   128,    82, 0
7775,   128,    82, 0
7793,   128,    85, 0
7812,   128,    86, 0
7830,   128,    92, 0
7848,   128,    95, 0
7868,   128,    95, 0
7886,   128,    95, 0
7906,   128,    95, 0
7924,   128,    95, 0
7943,   128,    95, 0
7961,   128,    94, 0
7981,   128,    94, 0
7999,   128,    91, 0
8017,   128,    88, 0
8037,   128,    85, 0
8055,   128,    82, 0
8074,   128,    82, 0
8093,   128,    83, 0
8111,   128,    88, 0
8130,   128,    91, 0
8148,   128,    95, 0
8168,   128,    96, 0
8185,   128,    96, 0
8205,   128,    95, 0
8223,   128,    95, 0
8242,   128,    95, 0
8261,   128,    94, 0
8280,   128,    94, 0
8298,   128,    90, 0
8317,   128,    89, 0
8336,   128,    85, 0
8354,   128,    82, 0
8373,   128,    82, 0
8392,   128,    84, 0
8411,   128,    88, 0
11544,  128,    86, 0
11545,  128,    84, 0
11546,  128,    82, 0
11547,  128,    80, 0
11556,  128,    91, 0
11576,  128,    90, 0
11596,  128,    90, 0
11616,  128,    91, 0
11636,  128,    91, 0
11656,  128,    90, 0
11675,  128,    91, 0
11696,  128,    91, 0
11715,  128,    91, 0
11735,  128,    91, 0
11754,  128,    91, 0
11774,  128,    91, 0
11794,  128,    91, 0
11813,  128,    91, 0
11833,  128,    90, 0
11853,  128,    89, 0
11873,  128,    90, 0
11892,  128,    89, 0
11913,  128,    88, 0
11932,  128,    87, 0
11952,  128,    87, 0
11971,  128,    86, 0
11992,  128,    87, 0
12011,  128,    86, 0
12030,  128,    86, 0
12051,  128,    86, 0
12070,  128,    85, 0
12091,  128,    85, 0
12109,  128,    83, 0
12130,  128,    85, 0
12149,  128,    82, 0
12170,  128,    83, 0
12189,  128,    82, 0
12209,  128,    81, 0
12229,  128,    82, 0
12249,  128,    82, 0
12268,  128,    81, 0
12288,  128,    81, 0
12308,  128,    81, 0
12327,  128,    81, 0
12347,  128,    80, 0
12367,  128,    81, 0
12387,  128,    81, 0
12406,  128,    81, 0
12426,  128,    82, 0
12446,  128,    82, 0
12466,  128,    82, 0
12486,  128,    82, 0
12505,  128,    83, 0
12525,  128,    83, 0
12545,  128,    85, 0
12565,  128,    84, 0
12584,  128,    85, 0
12604,  128,    86, 0
12624,  128,    86, 0
12643,  128,    88, 0
12663,  128,    87, 0
12683,  128,    89, 0
12703,  128,    89, 0
12723,  128,    89, 0
12742,  128,    91, 0
12762,  128,    92, 0
12782,  128,    93, 0
12802,  128,    93, 0
12821,  128,    95, 0
12841,  128,    94, 0
12861,  128,    95, 0
12880,  128,    95, 0
12900,  128,    95, 0
12920,  128,    95, 0
12940,  128,    95, 0
12959,  128,    95, 0
12980,  128,    95, 0
12999,  128,    96, 0
13019,  128,    96, 0
13038,  128,    96, 0
13059,  128,    96, 0
13078,  128,    96, 0
13097,  128,    95, 0
13118,  128,    96, 0
13137,  128,    95, 0
13158,  128,    95, 0
13176,  128,    95, 0
13197,  128,    96, 0
13216,  128,    95, 0
13236,  128,    95, 0
13256,  128,    95, 0
13276,  128,    95, 0
13296,  255,    95, 0
13316,  255,    95, 0
13335,  255,    95, 0
13355,  255,    95, 0
13375,  255,    95, 0
13394,  255,    95, 0
13414,  255,    95, 0
13434,  255,    95, 0
13454,  255,    95, 0
13473,  255,    95, 0
13493,  255,    95, 0
13513,  255,    95, 0
13533,  255,    95, 0
13552,  255,    95, 0
13573,  128,    95, 0
13592,  128,    94, 0
13612,  128,    95, 0
13631,  128,    95, 0
13651,  128,    94, 0
13671,  128,    94, 0
13691,  128,    95, 0
13711,  128,    95, 0
13730,  128,    94, 0
13750,  128,    95, 0
13769,  128,    92, 0
13790,  128,    95, 0
13809,  128,    91, 0
13830,  128,    92, 0
13849,  128,    90, 0
13869,  128,    90, 0
13889,  128,    90, 0
13908,  128,    89, 0
13928,  128,    89, 0
13947,  128,    89, 0
13968,  128,    89, 0
13987,  128,    88, 0
14007,  128,    88, 0
14026,  128,    87, 0
14047,  128,    86, 0
14066,  128,    86, 0
14086,  128,    85, 0
14106,  128,    85, 0
14126,  128,    85, 0
14146,  128,    86, 0
14164,  128,    83, 0
14185,  128,    84, 0
14204,  128,    84, 0
14224,  128,    83, 0
14244,  128,    83, 0
14264,  128,    84, 0
14283,  128,    84, 0
14303,  128,    84, 0
14323,  128,    84, 24
14344,  128,    84, 24
14364,  128,    84, 24
14386,  128,    87, 24
14406,  128,    88, 24
14428,  128,    90, 39
14448,  128,    91, 39
14469,  128,    95, 39
14489,  128,    95, 39
14511,  128,    96, 46
14531,  128,    96, 46
14552,  128,    96, 46
14572,  128,    96, 46
14594,  128,    97, 48
14614,  128,    97, 48
14635,  128,    98, 48
14656,  128,    98, 48
14676,  128,    98, 48
14698,  128,    97, 50
14718,  128,    96, 50
14739,  128,    92, 50
14759,  128,    90, 50
14781,  128,    86, 57
14801,  128,    85, 57
14823,  128,    84, 57
14843,  128,    84, 57
14864,  128,    85, 64
14884,  128,    86, 64
14906,  128,    88, 64
14926,  128,    91, 64
14947,  128,    92, 64
14968,  128,    95, 70
14989,  128,    95, 70
15010,  128,    96, 70
15030,  128,    96, 70
15051,  128,    97, 81
15072,  128,    97, 81
15093,  128,    97, 81
15114,  128,    97, 81
15134,  128,    98, 94
15155,  128,    98, 94
15176,  128,    98, 94
15197,  128,    97, 94
15217,  128,    95, 94
15239,  128,    92, 100
15260,  128,    86, 100
15282,  128,    84, 100
15303,  128,    85, 100
15326,  128,    91, 100
15347,  128,    95, 100
15370,  128,    96, 100
15391,  128,    96, 100
15413,  128,    97, 100
15435,  128,    98, 100
15457,  128,    96, 100
15478,  128,    90, 100
15501,  128,    85, 100
15522,  128,    84, 100
15545,  128,    89, 100
15565,  128,    92, 100
15588,  128,    96, 100
15609,  128,    96, 100
15632,  128,    97, 100
15653,  128,    98, 100
15675,  128,    98, 100
15696,  128,    95, 100
15719,  128,    87, 100
15740,  128,    85, 100
15763,  128,    86, 100
15784,  128,    89, 100
15806,  128,    95, 100
15827,  128,    95, 100
15850,  128,    96, 100
15872,  128,    98, 100
15894,  128,    98, 100
15916,  128,    97, 100
