millis(), steeringRef, steering sensor, acceleration
47089,	128,	248,	0
47120,	128,	177,	0
47151,	128,	251,	0
47183,	128,	249,	0
47213,	128,	197,	0
47245,	128,	261,	0
47275,	128,	171,	0
47307,	128,	256,	0
47337,	128,	159,	0
47369,	128,	251,	0
47399,	128,	175,	0
47431,	128,	242,	0
47461,	128,	190,	0
47492,	128,	242,	0
47524,	128,	260,	0
47554,	128,	184,	0
47585,	128,	262,	0
47616,	128,	171,	0
47648,	128,	263,	0
47679,	128,	175,	0
47710,	128,	261,	0
47740,	128,	188,	0
47771,	128,	255,	0
47802,	128,	251,	0
47833,	128,	217,	0
47865,	128,	260,	0
47896,	128,	170,	0
47927,	128,	265,	0
47956,	128,	171,	0
47988,	128,	266,	0
48019,	128,	178,	0
48051,	128,	247,	0
48082,	128,	196,	0
48113,	128,	226,	0
48143,	128,	244,	0
48174,	128,	200,	0
48206,	128,	266,	0
48236,	128,	172,	0
48267,	128,	265,	0
48299,	128,	178,	0
48330,	128,	253,	0
48361,	128,	194,	0
48391,	128,	249,	0
48422,	128,	235,	0
48453,	128,	210,	0
48485,	128,	262,	0
48515,	128,	179,	0
48547,	128,	264,	0
48578,	128,	173,	0
48609,	128,	260,	0
48638,	128,	175,	0
48670,	128,	255,	0
48702,	128,	200,	0
48733,	128,	237,	0
48764,	128,	261,	0
48794,	128,	189,	0
48826,	128,	262,	0
48857,	128,	171,	0
48887,	128,	264,	0
48918,	128,	170,	0
48950,	128,	250,	0
48982,	128,	188,	0
49013,	128,	221,	0
49043,	128,	259,	0
49074,	128,	195,	0
49106,	128,	261,	0
49137,	128,	168,	0
49168,	128,	262,	0
49198,	128,	172,	0
49230,	128,	248,	0
49261,	128,	196,	0
49291,	128,	256,	0
49321,	128,	195,	0
49353,	128,	205,	0
49385,	128,	262,	0
49416,	128,	178,	0
49447,	128,	265,	0
49477,	128,	169,	0
49508,	128,	261,	0
49540,	128,	198,	0
49570,	128,	256,	0
49602,	128,	195,	0
49632,	128,	234,	0
49664,	128,	261,	0
49694,	128,	187,	0
49726,	128,	261,	0
49757,	128,	169,	0
49788,	128,	264,	0
49819,	128,	190,	0
49849,	128,	256,	0
49881,	128,	183,	0
49911,	128,	237,	0
49943,	128,	258,	0
49973,	128,	216,	0
50006,	128,	262,	0
50036,	128,	167,	0
50068,	128,	262,	0
50098,	128,	173,	0
50130,	128,	249,	0
50160,	128,	219,	0
50192,	128,	245,	0
50222,	128,	200,	0
50254,	128,	199,	0
50284,	128,	261,	0
50315,	128,	179,	0
50347,	128,	262,	0
50377,	128,	170,	0
50409,	128,	264,	0
50439,	128,	175,	0
50471,	128,	244,	0
50501,	128,	201,	0
50533,	128,	240,	0
50563,	128,	242,	0
50595,	128,	183,	0
50625,	128,	264,	0
50657,	128,	170,	0
50686,	128,	265,	0
50718,	128,	172,	0
50750,	128,	253,	0
50780,	128,	181,	0
50812,	128,	247,	0
50842,	128,	197,	0
50874,	128,	210,	0
50905,	128,	254,	0
50936,	128,	172,	0
50966,	128,	264,	0
50997,	128,	170,	0
51030,	128,	260,	0
51061,	128,	188,	0
51091,	128,	242,	0
51122,	128,	221,	0
51153,	128,	208,	0
51184,	128,	265,	0
51215,	128,	178,	0
51246,	128,	264,	0
51278,	128,	170,	0
51308,	128,	259,	0
51340,	128,	182,	0
51369,	128,	254,	0
51402,	128,	198,	0
51433,	128,	241,	0
51463,	128,	210,	0
51494,	128,	189,	0
51525,	128,	261,	0
51557,	128,	169,	0
51587,	128,	263,	0
51618,	128,	178,	0
51649,	128,	254,	0
51681,	128,	182,	0
51712,	128,	248,	0
