millis(), steeringRef, steering sensor, acceleration
226925, 128,    129,    0
226956, 128,    133,    0
226987, 128,    124,    0
227017, 128,    127,    0
227049, 128,    127,    0
227080, 128,    133,    0
227111, 128,    124,    0
227141, 128,    133,    0
227172, 128,    124,    0
227203, 128,    127,    0
227235, 128,    124,    0
227266, 128,    125,    0
227297, 128,    125,    0
227326, 128,    132,    0
227358, 128,    128,    0
227389, 128,    125,    0
227421, 128,    124,    0
227452, 128,    132,    0
227483, 128,    133,    0
227513, 128,    124,    0
227545, 128,    128,    0
227575, 128,    128,    0
227606, 128,    125,    0
227637, 128,    124,    0
227668, 128,    128,    0
227701, 128,    124,    0
227731, 128,    125,    0
227762, 128,    128,    0
227793, 128,    128,    0
227825, 128,    128,    0
227855, 128,    124,    0
227886, 128,    128,    0
227917, 128,    124,    0
227949, 128,    128,    0
227980, 128,    125,    0
228011, 128,    128,    0
228042, 128,    132,    0
228072, 128,    124,    0
228103, 128,    125,    0
228134, 128,    132,    0
228166, 128,    132,    0
228197, 128,    129,    0
228227, 128,    128,    0
228258, 128,    124,    0
228289, 128,    125,    0
228321, 128,    129,    0
228350, 128,    124,    0
228383, 128,    124,    0
228414, 128,    125,    0
228444, 128,    124,    0
228476, 128,    132,    0
228507, 128,    127,    0
228538, 128,    133,    0
228568, 128,    132,    0
228599, 128,    132,    0
228631, 128,    132,    0
228662, 128,    133,    0
228694, 128,    128,    0
228725, 128,    124,    0
228756, 128,    132,    0
228786, 128,    127,    0
228817, 128,    124,    0
228848, 128,    129,    0
228880, 128,    124,    0
228911, 128,    128,    0
228941, 128,    125,    0
228972, 128,    127,    0
229003, 128,    125,    0
229035, 128,    132,    0
229066, 128,    127,    0
229097, 128,    128,    0
229127, 128,    124,    0
229158, 128,    125,    0
229189, 128,    125,    0
229220, 128,    124,    0
229252, 128,    128,    0
229282, 128,    124,    0
229313, 128,    132,    0
229344, 128,    127,    0
229376, 128,    125,    0
229407, 128,    125,    0
229438, 128,    128,    0
229469, 128,    130,    0
229499, 128,    124,    0
229530, 128,    128,    0
229562, 128,    127,    0
229592, 128,    128,    0
229624, 128,    125,    0
229654, 128,    128,    0
229686, 128,    125,    0
229716, 128,    124,    0
229749, 128,    124,    0
229779, 128,    132,    0
229811, 128,    124,    0
229841, 128,    128,    0
229873, 128,    124,    0
229903, 128,    125,    0
229935, 128,    128,    0
229965, 128,    126,    0
229997, 128,    127,    0
230027, 128,    126,    0
230059, 128,    128,    0
230089, 128,    125,    0
230121, 128,    128,    0
230151, 128,    125,    0
230183, 128,    129,    0
230213, 128,    124,    0
230245, 128,    133,    0
230275, 128,    125,    0
230307, 128,    125,    0
230337, 128,    125,    0
230369, 128,    128,    0
230398, 128,    124,    0
230431, 128,    125,    0
230461, 128,    129,    0
230493, 128,    124,    0
Benchmark has begun (255 to 128)
230557, 255,    129,    0
230589, 255,    124,    0
230622, 255,    128,    0
230654, 255,    124,    0
230687, 255,    129,    0
230717, 255,    127,    0
230750, 255,    131,    0
230782, 255,    149,    0
230815, 255,    172,    0
230848, 255,    187,    0
230881, 255,    217,    0
230914, 255,    225,    0
230945, 255,    242,    0
230976, 255,    242,    0
231007, 255,    238,    0
231040, 255,    238,    0
231070, 255,    243,    0
231102, 255,    245,    0
231133, 255,    246,    0
231163, 255,    238,    0
231195, 255,    232,    0
231226, 255,    245,    0
231256, 255,    242,    0
231287, 255,    242,    0
231319, 255,    238,    0
231350, 255,    245,    0
231382, 255,    238,    0
231413, 255,    232,    0
231444, 255,    245,    0
231475, 128,    245,    0
231507, 128,    237,    0
231539, 128,    245,    0
231572, 128,    238,    0
231605, 128,    243,    0
231638, 128,    238,    0
231670, 128,    242,    0
231703, 128,    238,    0
231736, 128,    242,    0
231769, 128,    238,    0
231800, 128,    227,    0
231833, 128,    196,    0
231866, 128,    177,    0
231899, 128,    146,    0
End to end took: 447
231962, 128,    122,    0
231993, 128,    114,    0
232023, 128,    105,    0
232054, 128,    109,    0
232085, 128,    114,    0
232117, 128,    108,    0
232148, 128,    108,    0
232179, 128,    106,    0
232209, 128,    105,    0
232240, 128,    109,    0
232271, 128,    107,    0
232303, 128,    110,    0
232334, 128,    106,    0
232365, 128,    107,    0
232395, 128,    107,    0
232426, 128,    107,    0
232457, 128,    105,    0
232489, 128,    109,    0
232520, 128,    107,    0
232551, 128,    113,    0
232581, 128,    114,    0
232612, 128,    114,    0
232644, 128,    109,    0
232675, 128,    106,    0
232705, 128,    105,    0
232736, 128,    108,    0
232767, 128,    105,    0
232799, 128,    105,    0
232830, 128,    108,    0
232861, 128,    105,    0
232891, 128,    107,    0
232922, 128,    105,    0
232953, 128,    105,    0
232985, 128,    109,    0
233016, 128,    106,    0
233046, 128,    109,    0
233077, 128,    105,    0
233109, 128,    105,    0
233140, 128,    107,    0
233171, 128,    109,    0
233201, 128,    105,    0
233232, 128,    105,    0
233263, 128,    109,    0
233295, 128,    109,    0
233326, 128,    113,    0
233357, 128,    106,    0
233387, 128,    105,    0
233418, 128,    109,    0
233449, 128,    105,    0
233481, 128,    109,    0
233512, 128,    105,    0
233542, 128,    111,    0
233573, 128,    107,    0
233605, 128,    110,    0
233636, 128,    119,    0
233667, 128,    111,    0
233697, 128,    116,    0
233728, 128,    115,    0
233759, 128,    116,    0
233791, 128,    115,    0
233822, 128,    115,    0
233853, 128,    116,    0
233884, 128,    117,    0
233914, 128,    115,    0
233945, 128,    115,    0
233976, 128,    116,    0
234008, 128,    113,    0
234038, 128,    115,    0
234068, 128,    114,    0
234101, 128,    119,    0
234132, 128,    111,    0
234163, 128,    113,    0
234193, 128,    114,    0
234224, 128,    119,    0
234255, 128,    111,    0
234286, 128,    115,    0
234318, 128,    116,    0
234349, 128,    113,    0
234379, 128,    115,    0
234411, 128,    115,    0
234442, 128,    116,    0
234473, 128,    119,    0
234503, 128,    113,    0
234558, 128,    117,    0
234589, 128,    113,    0
234620, 128,    115,    0
234651, 128,    113,    0
234682, 128,    116,    0
234713, 128,    119,    0
234744, 128,    119,    0
234774, 128,    113,    0
234806, 128,    114,    0
234836, 128,    121,    0
234868, 128,    115,    0
234900, 128,    115,    0
234930, 128,    119,    0
234961, 128,    111,    0
234993, 128,    111,    0
235024, 128,    115,    0
235055, 128,    115,    0
235086, 128,    111,    0
235117, 128,    113,    0
235147, 128,    116,    0
235177, 128,    113,    0
235209, 128,    115,    0
235240, 128,    113,    0
235271, 128,    113,    0
235303, 128,    115,    0
235334, 128,    116,    0
235364, 128,    119,    0
