millis(), steeringRef, steering sensor, acceleration
2318393,    128,    129,    0
2318424,    128,    124,    0
2318455,    128,    126,    0
2318485,    128,    133,    0
2318517,    128,    124,    0
2318547,    128,    134,    0
2318579,    128,    128,    0
2318609,    128,    133,    0
2318641,    128,    135,    0
2318672,    128,    134,    0
2318703,    128,    126,    0
2318734,    128,    135,    0
2318764,    128,    128,    0
2318796,    128,    135,    0
2318826,    128,    128,    0
2318857,    128,    126,    0
2318889,    128,    129,    0
2318919,    128,    128,    0
2318951,    128,    135,    0
2318981,    128,    128,    0
2319013,    128,    128,    0
2319044,    128,    130,    0
2319074,    128,    127,    0
2319106,    128,    135,    0
2319136,    128,    135,    0
2319168,    128,    124,    0
2319198,    128,    129,    0
2319230,    128,    135,    0
2319261,    128,    128,    0
2319292,    128,    128,    0
2319322,    128,    126,    0
2319353,    128,    128,    0
2319385,    128,    126,    0
2319415,    128,    124,    0
2319447,    128,    129,    0
2319478,    128,    130,    0
2319508,    128,    129,    0
2319540,    128,    128,    0
2319571,    128,    128,    0
2319602,    128,    128,    0
2319632,    128,    124,    0
2319663,    128,    135,    0
2319695,    128,    132,    0
2319725,    128,    128,    0
2319757,    128,    126,    0
2319787,    128,    128,    0
2319819,    128,    135,    0
2319850,    128,    126,    0
2319880,    128,    130,    0
2319912,    128,    126,    0
2319942,    128,    135,    0
2319973,    128,    133,    0
2320004,    128,    126,    0
2320035,    128,    135,    0
2320067,    128,    124,    0
2320097,    128,    130,    0
2320129,    128,    135,    0
2320159,    128,    128,    0
2320191,    158,    126,    0
2320221,    158,    135,    0
2320252,    158,    128,    0
2320284,    255,    130,    0
2320314,    255,    126,    0
2320345,    255,    128,    0
2320377,    255,    131,    0
2320407,    255,    149,    0
2320438,    255,    185,    0
2320470,    255,    196,    0
2320500,    255,    227,    0
2320532,    255,    244,    0
2320564,    255,    256,    0
2320594,    255,    258,    0
2320626,    255,    251,    0
2320656,    255,    258,    0
2320688,    255,    251,    0
2320718,    255,    258,    0
2320750,    255,    255,    0
2320780,    255,    255,    0
2320812,    255,    255,    0
2320842,    255,    252,    0
2320874,    255,    251,    0
2320904,    255,    251,    0
2320935,    255,    255,    0
2320966,    255,    255,    0
2320998,    255,    258,    0
2321028,    255,    251,    0
2321060,    255,    255,    0
2321090,    255,    258,    0
2321122,    255,    258,    0
2321152,    255,    256,    0
2321183,    255,    258,    0
2321214,    255,    258,    0
2321246,    255,    256,    0
2321277,    255,    258,    0
2321308,    255,    251,    0
2321338,    255,    255,    0
2321370,    255,    251,    0
2321401,    255,    255,    0
2321432,    255,    252,    0
2321462,    255,    251,    0
2321492,    255,    258,    0
2321524,    255,    255,    0
2321555,    211,    251,    0
2321587,    211,    258,    0
2321617,    211,    252,    0
2321649,    128,    258,    0
2321679,    128,    256,    0
2321711,    128,    258,    0
2321741,    128,    252,    0
2321772,    128,    255,    0
2321803,    128,    255,    0
2321835,    128,    251,    0
2321865,    128,    251,    0
2321897,    128,    250,    0
2321927,    128,    232,    0
2321959,    128,    223,    0
2321990,    128,    220,    0
2322020,    128,    200,    0
2322052,    128,    190,    0
2322082,    128,    178,    0
2322114,    128,    158,    0
2322144,    128,    149,    0
2322174,    128,    147,    0
2322207,    128,    138,    0
2322238,    128,    138,    0
2322269,    128,    138,    0
2322299,    128,    141,    0
2322330,    128,    138,    0
2322361,    128,    141,    0
2322393,    128,    137,    0
2322423,    128,    137,    0
2322455,    128,    141,    0
2322485,    128,    143,    0
2322516,    128,    144,    0
2322549,    128,    137,    0
2322579,    128,    137,    0
2322611,    0,  137,    0
2322642,    0,  147,    0
2322673,    0,  137,    0
2322703,    0,  126,    0
2322735,    0,  113,    0
2322766,    0,  87, 0
2322796,    0,  63, 0
2322827,    0,  43, 0
2322859,    0,  26, 0
2322889,    0,  7,  0
2322921,    0,  0,  0
2322951,    0,  -10,    0
2322982,    0,  -11,    0
2323013,    0,  -11,    0
2323045,    0,  -11,    0
2323076,    0,  -11,    0
2323107,    0,  -8, 0
2323137,    0,  -9, 0
2323168,    0,  -16,    0
2323198,    0,  -11,    0
2323231,    0,  -11,    0
2323262,    0,  -8, 0
2323293,    0,  -11,    0
2323323,    0,  -8, 0
2323354,    0,  -17,    0
2323385,    0,  -11,    0
2323416,    0,  -11,    0
2323448,    0,  -8, 0
2323479,    0,  -11,    0
2323509,    0,  -9, 0
2323540,    0,  -13,    0
2323573,    0,  -13,    0
2323604,    0,  -11,    0
2323634,    0,  -19,    0
2323665,    0,  -8, 0
2323697,    128,    -11,    0
2323728,    128,    -15,    0
2323759,    128,    -11,    0
2323790,    128,    -8, 0
2323821,    128,    -12,    0
2323851,    128,    -2, 0
2323883,    128,    -2, 0
2323913,    128,    0,  0
2323944,    128,    11, 0
2323975,    128,    43, 0
2324006,    128,    63, 0
2324037,    128,    87, 0
2324068,    128,    110,    0
2324100,    128,    118,    0
2324131,    128,    134,    0
2324162,    128,    137,    0
2324192,    128,    138,    0
2324224,    128,    138,    0
2324254,    128,    137,    0
2324285,    128,    138,    0
2324317,    128,    144,    0
2324347,    128,    138,    0
2324379,    128,    141,    0
2324409,    128,    143,    0
2324440,    128,    144,    0
2324472,    128,    138,    0
2324502,    225,    143,    0
