millis(), steeringRef, steering sensor, acceleration
82598,  128,    144,    0
82629,  128,    145,    0
82659,  128,    151,    0
82690,  128,    145,    0
82721,  128,    148,    0
82753,  128,    147,    0
82783,  128,    145,    0
82816,  128,    153,    0
82847,  128,    143,    0
82878,  128,    143,    0
82909,  128,    143,    0
82939,  128,    144,    0
82971,  128,    147,    0
83002,  128,    144,    0
83033,  128,    145,    0
83063,  128,    151,    0
83094,  128,    148,    0
83126,  128,    145,    0
83156,  128,    151,    0
83189,  128,    144,    0
83219,  128,    151,    0
83251,  128,    153,    0
83281,  128,    143,    0
83313,  128,    145,    0
83345,  128,    143,    0
83376,  128,    144,    0
83406,  128,    153,    0
83437,  128,    149,    0
83469,  128,    153,    0
83500,  128,    148,    0
83531,  128,    145,    0
83561,  128,    147,    0
83593,  128,    152,    0
83624,  128,    144,    0
83654,  128,    144,    0
83686,  128,    143,    0
83717,  128,    143,    0
83748,  128,    145,    0
83778,  128,    143,    0
83809,  128,    151,    0
83840,  128,    145,    0
83872,  128,    145,    0
83902,  128,    143,    0
83934,  128,    147,    0
83965,  128,    145,    0
83995,  128,    144,    0
84026,  128,    145,    0
84057,  128,    152,    0
84089,  128,    151,    0
84120,  128,    144,    0
84151,  128,    144,    0
84180,  128,    145,    0
84212,  128,    145,    0
84244,  128,    144,    0
84275,  128,    153,    0
84305,  128,    145,    0
84337,  193,    152,    0
84368,  193,    145,    0
84398,  193,    153,    0
84430,  255,    143,    0
84461,  255,    144,    0
84491,  255,    144,    0
84523,  255,    147,    0
84553,  255,    145,    0
84585,  255,    147,    0
84616,  255,    149,    0
84647,  255,    154,    0
84678,  255,    166,    0
84708,  255,    182,    0
84740,  255,    215,    0
84771,  255,    229,    0
84802,  255,    225,    0
84833,  255,    238,    0
84862,  255,    242,    0
84895,  255,    245,    0
84925,  255,    243,    0
84957,  255,    242,    0
84988,  255,    233,    0
85018,  255,    233,    0
85050,  255,    232,    0
85081,  255,    232,    0
85112,  255,    238,    0
85143,  255,    244,    0
85173,  255,    245,    0
85206,  255,    238,    0
85236,  255,    245,    0
85268,  255,    232,    0
85299,  255,    238,    0
85330,  128,    238,    0
85361,  128,    238,    0
85392,  128,    232,    0
85422,  128,    238,    0
85454,  128,    238,    0
85485,  128,    238,    0
85515,  128,    245,    0
85545,  128,    229,    0
85578,  128,    199,    0
85609,  128,    185,    0
85640,  128,    150,    0
85670,  128,    135,    0
85701,  128,    111,    0
85732,  128,    105,    0
85764,  128,    100,    0
85795,  128,    102,    0
85826,  128,    100,    0
85856,  128,    100,    0
85886,  128,    106,    0
85918,  128,    100,    0
85949,  128,    106,    0
85981,  128,    100,    0
86012,  128,    100,    0
86043,  128,    100,    0
86073,  128,    106,    0
86104,  128,    106,    0
86135,  128,    103,    0
86167,  128,    100,    0
86198,  128,    99, 0
86228,  128,    103,    0
86261,  128,    100,    0
86291,  128,    103,    0
86322,  128,    106,    0
86354,  128,    113,    0
86384,  128,    107,    0
86415,  128,    114,    0
86447,  128,    109,    0
86477,  128,    114,    0
86508,  128,    108,    0
86540,  128,    107,    0
86569,  128,    109,    0
86601,  128,    107,    0
86632,  128,    114,    0
86664,  128,    110,    0
86694,  128,    109,    0
86726,  128,    110,    0
86757,  103,    109,    0
86787,  103,    113,    0
86819,  103,    105,    0
86849,  0,  107,    0
86880,  0,  106,    0
86912,  0,  109,    0
86942,  0,  109,    0
86973,  0,  106,    0
87004,  0,  105,    0
87036,  0,  97, 0
87067,  0,  71, 0
87098,  0,  60, 0
87129,  0,  37, 0
87160,  0,  20, 0
87190,  0,  6,  0
87222,  0,  3,  0
87254,  0,  -4, 0
87284,  0,  0,  0
87316,  0,  0,  0
87346,  0,  0,  0
87378,  0,  -2, 0
87409,  0,  -1, 0
87440,  0,  0,  0
87470,  0,  3,  0
87501,  0,  -3, 0
87533,  0,  0,  0
87564,  0,  0,  0
87595,  0,  0,  0
87625,  0,  0,  0
87656,  0,  -3, 0
87687,  0,  -4, 0
87718,  128,    0,  0
87749,  128,    -4, 0
87780,  128,    -4, 0
87811,  128,    0,  0
87842,  128,    -4, 0
87874,  128,    5,  0
87904,  128,    1,  0
87934,  128,    16, 0
87967,  128,    39, 0
87997,  128,    69, 0
88029,  128,    90, 0
88059,  128,    112,    0
88090,  128,    133,    0
88122,  128,    138,    0
88153,  128,    146,    0
88183,  128,    150,    0
88215,  128,    152,    0
88246,  128,    153,    0
88278,  128,    149,    0
88308,  128,    154,    0
88339,  128,    149,    0
88370,  128,    148,    0
88402,  128,    153,    0
88433,  128,    152,    0
88463,  128,    149,    0
88495,  128,    152,    0
88526,  128,    142,    0
88557,  128,    154,    0
88587,  128,    147,    0
88619,  128,    152,    0
88650,  128,    154,    0
88681,  128,    149,    0
88711,  128,    148,    0
88742,  128,    146,    0
88774,  128,    151,    0
88805,  128,    146,    0
88836,  128,    154,    0
88866,  128,    151,    0
88898,  128,    147,    0
88929,  128,    147,    0
88960,  128,    147,    0
88990,  128,    154,    0
89022,  128,    147,    0
89053,  128,    146,    0
89084,  128,    143,    0
89114,  128,    149,    0
89145,  128,    144,    0
89176,  128,    145,    0
89208,  128,    145,    0
89238,  128,    144,    0
89269,  128,    145,    0
89302,  128,    145,    0
89332,  128,    147,    0
89364,  128,    147,    0
89394,  128,    144,    0
89426,  128,    153,    0
89457,  128,    145,    0
89488,  128,    153,    0
89518,  255,    147,    0
89550,  255,    147,    0
89580,  255,    143,    0
89612,  255,    145,    0
89643,  255,    145,    0
89673,  255,    145,    0
89705,  255,    143,    0
89735,  255,    147,    0
89766,  255,    154,    0
89798,  255,    166,    0
89829,  255,    182,    0
89860,  255,    211,    0
89890,  255,    221,    0
89922,  255,    231,    0
89953,  255,    245,    0
89982,  255,    242,    0
90015,  255,    247,    0
90045,  255,    249,    0
90077,  255,    246,    0
90107,  255,    247,    0
90139,  255,    248,    0
90169,  255,    247,    0
90200,  255,    247,    0
90232,  255,    247,    0
90262,  255,    247,    0
90293,  255,    246,    0
90324,  255,    247,    0
90356,  255,    247,    0
90388,  255,    244,    0
90418,  128,    247,    0
90450,  128,    244,    0
90480,  128,    244,    0
90512,  128,    247,    0
90542,  128,    255,    0
90574,  128,    245,    0
90604,  128,    248,    0
90636,  128,    238,    0
90667,  128,    233,    0
90698,  128,    220,    0
90728,  128,    203,    0
90760,  128,    185,    0
90791,  128,    157,    0
90821,  128,    133,    0
90852,  128,    117,    0
90884,  128,    116,    0
90915,  128,    115,    0
90945,  128,    105,    0
90976,  128,    111,    0
91008,  128,    111,    0
91038,  128,    105,    0
91069,  128,    116,    0
91101,  128,    113,    0
91132,  128,    112,    0
91162,  128,    111,    0
91193,  128,    114,    0
91225,  128,    111,    0
91255,  128,    116,    0
91286,  128,    111,    0
91318,  128,    108,    0
91350,  128,    116,    0
91381,  128,    110,    0
91411,  128,    115,    0
91443,  128,    111,    0
91474,  128,    110,    0
91504,  128,    116,    0
91536,  128,    107,    0
91566,  128,    114,    0
91597,  128,    111,    0
91628,  128,    115,    0
91660,  128,    116,    0
91691,  128,    107,    0
91721,  128,    112,    0
91753,  128,    113,    0
91783,  128,    107,    0
91815,  128,    107,    0
91845,  128,    115,    0
91877,  128,    111,    0
91908,  128,    116,    0
91938,  128,    114,    0
91970,  128,    114,    0
92001,  128,    111,    0
92030,  128,    111,    0
92062,  128,    111,    0
92093,  128,    111,    0
92125,  128,    110,    0
92155,  128,    111,    0
92187,  128,    107,    0
92218,  128,    111,    0
92249,  128,    107,    0
92279,  128,    116,    0
92310,  128,    107,    0
92342,  128,    111,    0
92372,  128,    116,    0
92404,  128,    107,    0
92436,  128,    112,    0
92467,  128,    111,    0
92498,  128,    111,    0
92528,  128,    111,    0
92560,  128,    112,    0
92590,  128,    108,    0
92621,  128,    111,    0
92653,  128,    107,    0
92683,  128,    113,    0
92713,  128,    114,    0
92745,  128,    107,    0
92777,  128,    107,    0
92808,  128,    113,    0
92838,  128,    107,    0
92870,  128,    107,    0
92900,  128,    111,    0
92931,  128,    115,    0
92963,  128,    116,    0
92994,  128,    111,    0
93025,  128,    116,    0
93054,  128,    114,    0
93087,  128,    111,    0
93117,  128,    111,    0
93148,  128,    107,    0
93180,  128,    108,    0
93210,  128,    111,    0
93241,  128,    114,    0
93273,  128,    115,    0
93303,  128,    114,    0
93335,  128,    112,    0
93365,  128,    104,    0
93398,  128,    113,    0
93428,  128,    116,    0
93460,  128,    111,    0
93490,  128,    107,    0
93521,  128,    114,    0
93553,  128,    114,    0
93583,  128,    116,    0
93615,  128,    116,    0
93645,  128,    111,    0
93677,  128,    113,    0
93708,  128,    111,    0
93737,  128,    111,    0
93770,  128,    111,    0
93800,  128,    116,    0
