millis(), steeringRef, steering sensor, acceleration
2389524,    128,    134,    0
2389555,    128,    130,    0
2389586,    128,    129,    0
2389618,    128,    127,    0
2389648,    128,    129,    0
2389679,    128,    133,    0
2389711,    128,    133,    0
2389742,    128,    126,    0
2389773,    128,    129,    0
2389803,    128,    135,    0
2389834,    128,    128,    0
2389866,    128,    129,    0
2389897,    128,    128,    0
2389927,    128,    124,    0
2389958,    128,    134,    0
2389989,    128,    129,    0
2390020,    128,    129,    0
2390052,    128,    134,    0
2390083,    128,    129,    0
2390113,    128,    135,    0
2390145,    128,    128,    0
2390175,    128,    129,    0
2390207,    128,    133,    0
2390238,    128,    125,    0
2390269,    128,    134,    0
2390299,    128,    127,    0
2390330,    128,    132,    0
2390361,    128,    124,    0
2390393,    128,    134,    0
2390424,    128,    133,    0
2390455,    128,    127,    0
2390484,    128,    129,    0
2390517,    128,    128,    0
2390548,    128,    124,    0
2390579,    128,    128,    0
2390609,    128,    128,    0
2390640,    128,    128,    0
2390671,    128,    134,    0
2390702,    128,    134,    0
2390734,    128,    126,    0
2390765,    128,    127,    0
2390795,    128,    127,    0
2390827,    76, 128,    0
2390857,    76, 125,    0
2390888,    76, 134,    0
2390920,    0,  134,    0
2390950,    0,  120,    0
2390982,    0,  116,    0
2391012,    0,  88, 0
2391043,    0,  73, 0
2391074,    0,  45, 0
2391106,    0,  29, 0
2391137,    0,  1,  0
2391166,    0,  -7, 0
2391198,    0,  -15,    0
2391229,    0,  -19,    0
2391260,    0,  -14,    0
2391292,    0,  -20,    0
2391322,    0,  -15,    0
2391354,    0,  -15,    0
2391384,    0,  -12,    0
2391415,    0,  -15,    0
2391446,    0,  -14,    0
2391478,    0,  -20,    0
2391508,    0,  -13,    0
2391541,    0,  -14,    0
2391571,    0,  -15,    0
2391603,    0,  -20,    0
2391634,    0,  -12,    0
2391665,    0,  -12,    0
2391695,    0,  -14,    0
2391727,    0,  -11,    0
2391757,    0,  -12,    0
2391789,    0,  -14,    0
2391819,    128,    -20,    0
2391849,    128,    -12,    0
2391881,    128,    -20,    0
2391912,    128,    -12,    0
2391944,    128,    -13,    0
2391974,    128,    -11,    0
2392005,    128,    -11,    0
2392036,    128,    0,  0
2392067,    128,    13, 0
2392099,    128,    43, 0
2392130,    128,    60, 0
2392160,    128,    81, 0
2392192,    128,    108,    0
2392223,    128,    111,    0
2392253,    128,    129,    0
2392284,    128,    137,    0
2392315,    128,    141,    0
2392346,    128,    137,    0
2392378,    128,    145,    0
2392409,    128,    136,    0
2392440,    128,    144,    0
2392471,    128,    138,    0
2392502,    128,    144,    0
2392532,    128,    141,    0
2392564,    128,    141,    0
2392596,    128,    137,    0
2392626,    128,    141,    0
2392658,    128,    138,    0
2392688,    128,    141,    0
2392719,    128,    141,    0
2392750,    128,    137,    0
2392781,    128,    136,    0
2392813,    128,    139,    0
