millis(), steeringRef, steering sensor, acceleration
41513,  128,    127,    0
41546,  128,    105,    0
41576,  128,    92, 0
41607,  128,    85, 0
41639,  128,    77, 0
41670,  128,    77, 0
41700,  128,    81, 0
41732,  128,    82, 0
41762,  128,    81, 0
41793,  128,    79, 0
41825,  128,    84, 0
41854,  128,    86, 0
43209,  128,    87, 0
43240,  128,    90, 0
43271,  128,    85, 0
43302,  128,    85, 0
43333,  128,    87, 0
43364,  128,    86, 0
43395,  128,    85, 0
43426,  128,    90, 0
43457,  128,    87, 0
43488,  128,    96, 0
43520,  128,    93, 0
43550,  128,    95, 0
43582,  128,    98, 0
43613,  128,    103,    0
43644,  128,    100,    0
43674,  128,    95, 0
43705,  128,    100,    0
43736,  128,    103,    0
43768,  128,    98, 0
43799,  128,    98, 0
43829,  128,    99, 0
43860,  128,    99, 0
43892,  128,    95, 0
43923,  128,    98, 0
43955,  128,    101,    0
43985,  128,    100,    0
44016,  128,    95, 0
44047,  128,    100,    0
44079,  128,    100,    0
44109,  128,    100,    0
44140,  128,    95, 0
44171,  128,    96, 0
44203,  128,    101,    0
44234,  128,    98, 0
44264,  128,    103,    0
44296,  128,    100,    0
44326,  128,    103,    0
44357,  128,    98, 0
44389,  128,    103,    0
44420,  128,    101,    0
44451,  128,    101,    0
44481,  128,    98, 0
44512,  128,    100,    0
44542,  128,    99, 0
44575,  128,    101,    0
44605,  128,    96, 0
44637,  128,    101,    0
44668,  128,    103,    0
44699,  128,    99, 0
44729,  128,    103,    0
44760,  128,    98, 0
44792,  128,    98, 0
44822,  128,    100,    0
44853,  128,    96, 0
44884,  128,    100,    0
44917,  128,    95, 0
44948,  128,    103,    0
44979,  128,    109,    0
45010,  128,    104,    0
45041,  128,    107,    0
45072,  128,    109,    0
45103,  128,    105,    0
45134,  128,    108,    0
45165,  128,    111,    0
45196,  128,    111,    0
45225,  128,    112,    0
45258,  128,    111,    0
45289,  128,    111,    0
45319,  128,    111,    0
45351,  128,    116,    0
45382,  128,    119,    0
45413,  128,    112,    0
45444,  128,    112,    0
45475,  128,    111,    0
45506,  128,    111,    0
45537,  128,    111,    0
45568,  128,    112,    0
45599,  128,    112,    0
45629,  128,    119,    0
45661,  128,    115,    0
45692,  128,    111,    0
45722,  128,    115,    0
45754,  128,    112,    0
45785,  128,    115,    0
45816,  128,    111,    0
45847,  128,    112,    0
45877,  128,    116,    0
45910,  128,    112,    0
45940,  128,    115,    0
45972,  128,    111,    0
46003,  128,    116,    0
46033,  128,    117,    0
46065,  128,    112,    0
46096,  128,    111,    0
46126,  128,    112,    0
46158,  128,    115,    0
46189,  128,    119,    0
46220,  128,    115,    0
46251,  128,    115,    0
46281,  128,    111,    0
46313,  128,    112,    0
46344,  128,    116,    0
46375,  128,    112,    0
46406,  128,    111,    0
46436,  128,    111,    0
46468,  128,    112,    0
46499,  128,    111,    0
46530,  128,    112,    0
46561,  128,    116,    0
46590,  128,    116,    0
46623,  128,    112,    0
46654,  128,    116,    0
46685,  128,    115,    0
46716,  128,    115,    0
46747,  128,    111,    0
46778,  128,    115,    0
46809,  128,    116,    0
Benchmark has begun (255 to 128)
47847,  255,    117,    0
47877,  255,    114,    0
47909,  255,    131,    0
47942,  255,    153,    0
47975,  255,    189,    0
48007,  255,    209,    0
48039,  255,    235,    0
48070,  255,    248,    0
48100,  255,    251,    0
48132,  255,    256,    0
48162,  255,    255,    0
48193,  255,    258,    0
48225,  255,    258,    0
48256,  255,    258,    0
48287,  255,    258,    0
48317,  255,    256,    0
48348,  255,    256,    0
48379,  255,    255,    0
48411,  255,    255,    0
48442,  255,    256,    0
48473,  255,    258,    0
48503,  255,    256,    0
48534,  255,    252,    0
48565,  255,    252,    0
48598,  255,    258,    0
48629,  255,    255,    0
48660,  255,    258,    0
48690,  255,    251,    0
48721,  255,    252,    0
48752,  255,    252,    0
48784,  255,    258,    0
48814,  255,    258,    0
48846,  255,    252,    0
48876,  255,    255,    0
48907,  255,    258,    0
48937,  255,    251,    0
48970,  255,    256,    0
49000,  255,    256,    0
49031,  255,    258,    0
49063,  128,    258,    0
49095,  128,    258,    0
49128,  128,    258,    0
49161,  128,    255,    0
49192,  128,    258,    0
49225,  128,    258,    0
49258,  128,    255,    0
49291,  128,    252,    0
49323,  128,    255,    0
49355,  128,    255,    0
49388,  128,    255,    0
49421,  128,    229,    0
49454,  128,    223,    0
49485,  128,    211,    0
49518,  128,    191,    0
49551,  128,    191,    0
49584,  128,    176,    0
49616,  128,    175,    0
49648,  128,    179,    0
49681,  128,    175,    0
49711,  128,    175,    0
49743,  128,    174,    0
49776,  128,    175,    0
49809,  128,    184,    0
49841,  128,    181,    0
49873,  128,    177,    0
49903,  128,    179,    0
49936,  128,    185,    0
49969,  128,    175,    0
50001,  128,    179,    0
50033,  128,    175,    0
50066,  128,    175,    0
50099,  128,    175,    0
50131,  128,    181,    0
50164,  128,    177,    0
50196,  128,    174,    0
50229,  128,    179,    0
50262,  128,    185,    0
50294,  128,    175,    0
50327,  128,    175,    0
50359,  128,    175,    0
50392,  128,    177,    0
50424,  128,    177,    0
50457,  128,    177,    0
50490,  128,    179,    0
50522,  128,    179,    0
50554,  128,    175,    0
50587,  128,    175,    0
50620,  128,    185,    0
50652,  128,    179,    0
50684,  128,    179,    0
50717,  128,    178,    0
50750,  128,    171,    0
50783,  128,    168,    0
50814,  128,    173,    0
50847,  128,    172,    0
50880,  128,    172,    0
50913,  128,    164,    0
50946,  128,    162,    0
50977,  128,    162,    0
51010,  128,    172,    0
51040,  128,    162,    0
51073,  128,    168,    0
51105,  128,    168,    0
51138,  128,    166,    0
51170,  128,    168,    0
