millis	acc_0	acc_1	acc_2	gyr_0	gyr_1	gyr_2	mag_0	mag_1	mag_2	Longitude	Latitude	velN	velE	Throttle	Steering
6998	5	-22	-314	6	1	131	1953	668	-12406	nan	nan	nan	nan	136	207
7035	4	-22	-314	6	1	131	1919	768	-12304	nan	nan	nan	nan	136	203
7072	5	-23	-314	6	1	131	1930	713	-12406	nan	nan	nan	nan	116	178
7113	5	-22	-313	6	1	131	1861	557	-12356	nan	nan	nan	nan	131	198
7153	6	-22	-313	7	1	132	1976	690	-12406	nan	nan	nan	nan	122	192
7190	6	-22	-313	6	1	132	1907	657	-12419	nan	nan	nan	nan	114	175
7227	5	-22	-314	7	1	131	1907	679	-12279	nan	nan	nan	nan	120	179
7264	5	-22	-313	5	1	131	1953	634	-12330	nan	nan	nan	nan	131	195
7301	5	-22	-314	6	1	131	1907	701	-12470	nan	nan	nan	nan	139	209
7338	5	-23	-315	7	1	131	1895	701	-12368	nan	nan	nan	nan	141	211
7375	5	-22	-312	7	1	131	1895	668	-12419	nan	nan	nan	nan	125	193
7415	5	-22	-313	7	1	131	1999	701	-12470	nan	nan	nan	nan	125	194
7453	5	-22	-314	6	1	131	1919	713	-12330	nan	nan	nan	nan	121	183
7490	5	-22	-313	6	1	131	1988	701	-12356	nan	nan	nan	nan	112	171
7527	5	-22	-313	7	1	131	1884	623	-12343	nan	nan	nan	nan	113	173
7564	5	-22	-314	6	1	131	1873	634	-12381	nan	nan	nan	nan	134	198
7601	5	-22	-313	6	1	132	1895	668	-12304	nan	nan	nan	nan	138	208
7638	5	-23	-314	5	1	131	1907	713	-12381	nan	nan	nan	nan	139	209
7675	5	-22	-314	6	1	131	1895	623	-12318	nan	nan	nan	nan	128	195
7715	5	-21	-313	6	1	131	1930	679	-12343	nan	nan	nan	nan	123	192
7752	4	-22	-315	6	1	132	1942	746	-12356	nan	nan	nan	nan	121	181
7789	5	-22	-313	6	1	131	1942	679	-12381	nan	nan	nan	nan	116	173
7826	5	-22	-314	6	1	131	1953	657	-12343	nan	nan	nan	nan	120	182
7863	5	-21	-314	6	1	131	1942	690	-12406	nan	nan	nan	nan	128	196
7900	5	-22	-314	7	0	131	1942	645	-12330	nan	nan	nan	nan	140	210
7937	6	-22	-314	5	1	131	1907	645	-12368	nan	nan	nan	nan	136	205
7974	5	-22	-314	7	1	131	1919	645	-12394	nan	nan	nan	nan	126	190
8014	5	-22	-315	6	1	131	1942	657	-12394	nan	nan	nan	nan	126	193
8051	5	-23	-313	7	1	131	1930	634	-12368	nan	nan	nan	nan	114	174
8088	4	-23	-313	6	1	131	1850	668	-12356	nan	nan	nan	nan	114	173
8125	5	-21	-314	6	1	131	1930	679	-12445	nan	nan	nan	nan	117	182
8162	5	-22	-314	6	1	131	1884	623	-12368	nan	nan	nan	nan	129	199
8199	5	-22	-316	7	1	131	1942	713	-12356	nan	nan	nan	nan	132	203
8236	4	-21	-314	6	1	132	1930	679	-12330	nan	nan	nan	nan	127	193
8273	5	-21	-314	7	1	131	1884	668	-12318	nan	nan	nan	nan	115	176
8313	5	-22	-316	6	0	131	1988	623	-12356	nan	nan	nan	nan	112	177
8351	5	-22	-314	6	1	131	1976	679	-12279	nan	nan	nan	nan	112	171
8388	5	-22	-313	5	1	131	1907	634	-12445	nan	nan	nan	nan	115	177
8426	5	-22	-314	6	1	131	1919	579	-12406	nan	nan	nan	nan	124	189
8463	5	-23	-315	6	2	131	1895	657	-12330	nan	nan	nan	nan	137	206
8500	5	-21	-314	6	1	131	1884	690	-12318	nan	nan	nan	nan	136	207
8537	5	-22	-313	7	1	131	1999	690	-12318	nan	nan	nan	nan	124	194
8574	6	-22	-313	7	1	131	1964	623	-12330	nan	nan	nan	nan	120	182
8614	5	-23	-314	7	1	131	1999	546	-12356	nan	nan	nan	nan	122	187
8651	5	-22	-314	7	1	131	1988	668	-12406	nan	nan	nan	nan	108	168
8688	5	-23	-315	7	1	131	1861	612	-12330	nan	nan	nan	nan	121	180
8725	5	-22	-313	6	1	131	1895	657	-12343	nan	nan	nan	nan	128	194
8762	5	-21	-313	6	1	131	1942	634	-12356	nan	nan	nan	nan	136	206
8799	5	-22	-313	6	1	131	1930	690	-12381	nan	nan	nan	nan	134	205
8836	5	-22	-316	7	1	131	1884	645	-12431	nan	nan	nan	nan	128	194
8873	5	-22	-312	6	1	131	1930	657	-12343	nan	nan	nan	nan	114	174
8913	6	-22	-313	6	1	131	1942	679	-12318	nan	nan	nan	nan	113	177
8950	4	-21	-315	6	1	131	1861	668	-12330	nan	nan	nan	nan	114	173
8987	5	-22	-314	7	1	131	1907	657	-12368	nan	nan	nan	nan	120	183
9024	5	-23	-313	6	1	131	1895	713	-12445	nan	nan	nan	nan	126	195
9061	5	-21	-314	6	1	132	1930	623	-12368	nan	nan	nan	nan	128	200
9098	5	-22	-314	5	1	131	1942	634	-12279	nan	nan	nan	nan	140	207
9135	5	-21	-313	7	1	131	1953	601	-12406	nan	nan	nan	nan	126	190
9172	5	-23	-314	7	1	131	1964	612	-12356	nan	nan	nan	nan	115	174
9212	5	-21	-314	7	1	131	1930	679	-12356	nan	nan	nan	nan	108	172
9249	4	-22	-314	6	1	132	1873	645	-12267	nan	nan	nan	nan	122	182
9286	6	-22	-314	7	1	131	1907	645	-12381	nan	nan	nan	nan	130	196
9323	4	-23	-313	7	1	131	1930	701	-12394	nan	nan	nan	nan	132	203
9395	5	-21	-315	7	1	131	1907	668	-12457	nan	nan	nan	nan	121	217
9432	5	-22	-314	6	1	131	1999	634	-12343	nan	nan	nan	nan	112	181
9469	5	-22	-315	6	1	131	1942	645	-12406	nan	nan	nan	nan	115	178
9507	5	-22	-315	6	1	132	1942	634	-12292	nan	nan	nan	nan	127	193
9547	5	-22	-315	5	2	131	1919	645	-12394	nan	nan	nan	nan	121	189
9584	5	-22	-314	6	1	131	1884	645	-12304	nan	nan	nan	nan	136	206
9621	6	-23	-315	7	1	131	1895	679	-12330	nan	nan	nan	nan	138	210
9658	4	-22	-315	7	1	131	1930	634	-12318	nan	nan	nan	nan	128	197
9695	5	-22	-315	6	1	131	1907	634	-12330	nan	nan	nan	nan	125	187
9732	6	-22	-313	7	1	131	1907	590	-12406	nan	nan	nan	nan	115	173
9769	5	-22	-315	6	0	131	1884	679	-12394	nan	nan	nan	nan	112	173
9809	4	-23	-314	7	1	131	1895	668	-12292	nan	nan	nan	nan	115	179
9846	4	-21	-314	6	1	131	1964	623	-12304	nan	nan	nan	nan	124	192
9883	4	-21	-315	6	1	131	1907	645	-12343	nan	nan	nan	nan	133	204
9920	5	-22	-313	6	1	131	1942	690	-12343	nan	nan	nan	nan	130	201
9957	5	-22	-315	7	1	131	1919	634	-12292	nan	nan	nan	nan	128	194
9994	5	-21	-314	6	1	131	1976	657	-12431	nan	nan	nan	nan	114	174
10031	5	-22	-314	5	1	131	1976	645	-12406	nan	nan	nan	nan	107	166
10068	5	-22	-313	6	1	131	1942	601	-12368	nan	nan	nan	nan	118	181
10108	6	-21	-313	6	1	131	1953	713	-12381	nan	nan	nan	nan	117	183
10145	5	-22	-314	6	1	131	1884	623	-12368	nan	nan	nan	nan	126	196
10182	6	-23	-314	5	1	131	1861	657	-12356	nan	nan	nan	nan	138	209
10219	5	-21	-315	6	1	131	1907	634	-12406	nan	nan	nan	nan	133	201
10256	5	-22	-314	6	1	131	1953	657	-12343	nan	nan	nan	nan	121	185
10293	6	-23	-313	5	1	131	1942	657	-12419	nan	nan	nan	nan	109	167
10330	5	-21	-315	6	1	131	1861	623	-12356	nan	nan	nan	nan	110	170
10367	5	-22	-314	6	1	131	1919	612	-12406	nan	nan	nan	nan	122	188
10407	5	-22	-315	6	1	131	1873	645	-12394	nan	nan	nan	nan	127	194
10444	5	-22	-314	6	0	130	1988	645	-12394	nan	nan	nan	nan	129	200
10482	5	-22	-313	5	1	131	1988	612	-12318	nan	nan	nan	nan	130	201
10519	5	-22	-313	6	1	132	1907	645	-12368	nan	nan	nan	nan	130	198
10556	5	-22	-315	7	1	131	1919	645	-12343	nan	nan	nan	nan	121	184
10593	6	-23	-314	6	1	131	1895	645	-12457	nan	nan	nan	nan	113	171
10630	5	-22	-314	6	1	131	1942	634	-12343	nan	nan	nan	nan	113	173
10667	4	-23	-315	6	1	131	1907	690	-12381	nan	nan	nan	nan	123	190
10707	5	-21	-314	6	1	131	1907	690	-12356	nan	nan	nan	nan	120	189
10744	6	-22	-313	6	1	131	1930	657	-12356	nan	nan	nan	nan	128	199
10781	5	-22	-314	7	1	132	1919	690	-12394	nan	nan	nan	nan	130	200
10818	5	-22	-313	6	1	131	1930	657	-12394	nan	nan	nan	nan	121	188
10855	6	-22	-313	6	1	131	1942	668	-12356	nan	nan	nan	nan	111	171
10892	4	-22	-314	6	1	132	1861	690	-12304	nan	nan	nan	nan	112	169
10934	5	-22	-313	7	1	131	1930	645	-12356	nan	nan	nan	nan	111	177
10971	5	-22	-314	6	1	131	1861	623	-12457	nan	nan	nan	nan	112	175
11011	6	-22	-314	7	1	131	1907	668	-12356	nan	nan	nan	nan	110	176
11048	5	-22	-314	7	1	131	1964	601	-12457	nan	nan	nan	nan	123	190
11085	5	-23	-315	7	1	131	1907	623	-12330	nan	nan	nan	nan	134	205
11122	6	-21	-314	6	0	131	1942	612	-12406	nan	nan	nan	nan	136	207
11159	5	-22	-314	6	1	131	1919	690	-12394	nan	nan	nan	nan	125	193
11196	5	-23	-315	6	1	131	1930	668	-12330	nan	nan	nan	nan	112	174
11233	6	-22	-315	6	1	131	1930	679	-12381	nan	nan	nan	nan	105	163
11273	6	-22	-315	6	0	131	1895	612	-12445	nan	nan	nan	nan	109	172
11310	5	-22	-315	6	1	131	1964	668	-12343	nan	nan	nan	nan	112	176
11348	6	-22	-314	7	1	131	1907	645	-12356	nan	nan	nan	nan	126	194
11385	4	-21	-315	6	1	131	1953	645	-12343	nan	nan	nan	nan	130	202
11422	5	-22	-313	6	0	131	1988	668	-12267	nan	nan	nan	nan	132	203
11460	5	-21	-313	6	1	131	1930	690	-12356	nan	nan	nan	nan	120	188
11497	5	-22	-313	7	0	131	1942	690	-12406	nan	nan	nan	nan	115	178
11534	5	-23	-315	6	1	131	1895	634	-12368	nan	nan	nan	nan	110	168
11574	5	-23	-313	6	1	131	1919	623	-12406	nan	nan	nan	nan	109	172
11611	5	-22	-314	7	1	131	1884	668	-12356	nan	nan	nan	nan	110	173
11648	5	-22	-314	6	1	131	1964	634	-12445	nan	nan	nan	nan	123	190
11685	5	-21	-315	6	1	131	1930	657	-12406	nan	nan	nan	nan	129	201
