millis(), steeringRef, steering sensor, acceleration
21185,	128,	176,	0
21216,	128,	255,	0
21246,	128,	192,	0
21278,	128,	223,	0
21310,	128,	258,	0
21341,	128,	184,	0
21371,	128,	263,	0
21402,	128,	161,	0
21433,	128,	262,	0
21465,	128,	161,	0
21496,	128,	247,	0
21527,	128,	181,	0
21557,	128,	236,	0
21590,	128,	261,	0
21620,	128,	174,	0
21651,	128,	264,	0
21682,	128,	161,	0
21714,	128,	263,	0
21745,	128,	190,	0
21775,	128,	251,	0
21806,	128,	175,	0
21837,	128,	232,	0
21869,	128,	258,	0
21900,	128,	199,	0
21931,	128,	260,	0
21961,	128,	161,	0
21992,	128,	264,	0
22024,	128,	161,	0
22055,	128,	250,	0
22085,	128,	183,	0
22117,	128,	243,	0
22148,	128,	194,	0
22178,	128,	210,	0
22209,	128,	261,	0
22240,	128,	179,	0
22272,	128,	258,	0
22303,	128,	165,	0
22334,	128,	262,	0
22364,	128,	180,	0
22396,	128,	243,	0
22427,	128,	200,	0
22457,	128,	250,	0
22489,	128,	258,	0
22519,	128,	193,	0
22551,	128,	258,	0
22581,	128,	172,	0
22614,	128,	262,	0
22644,	128,	184,	0
22676,	128,	244,	0
22706,	128,	221,	0
22738,	128,	227,	0
22768,	128,	258,	0
22800,	128,	190,	0
22831,	128,	261,	0
22861,	128,	166,	0
22893,	128,	259,	0
22923,	128,	168,	0
22955,	128,	253,	0
22985,	128,	219,	0
23017,	128,	256,	0
23047,	128,	208,	0
