millis(), steeringRef, steering sensor, acceleration
1177030,    128,    129,    0
1177061,    128,    135,    0
1177092,    128,    130,    0
1177123,    128,    139,    0
1177154,    128,    129,    0
1177184,    128,    139,    0
1177214,    128,    135,    0
1177246,    128,    133,    0
1177277,    128,    131,    0
1177309,    128,    131,    0
1177340,    128,    133,    0
1177371,    128,    130,    0
1177402,    128,    131,    0
1177433,    128,    131,    0
1177464,    128,    135,    0
1177494,    128,    135,    0
1177525,    128,    135,    0
1177556,    128,    130,    0
1177589,    128,    131,    0
1177620,    128,    129,    0
1177650,    128,    131,    0
1177682,    128,    131,    0
1177712,    128,    131,    0
1177743,    128,    130,    0
1177775,    128,    131,    0
1177805,    128,    130,    0
1177836,    128,    130,    0
1177867,    128,    130,    0
1177897,    128,    130,    0
1177930,    128,    133,    0
1177960,    128,    139,    0
1177992,    128,    131,    0
1178022,    128,    139,    0
1178054,    128,    132,    0
1178085,    128,    130,    0
1178116,    128,    135,    0
1178146,    128,    130,    0
1178178,    128,    135,    0
1178208,    128,    133,    0
1178240,    128,    131,    0
1178270,    128,    131,    0
1178301,    128,    130,    0
1178333,    128,    130,    0
1178364,    128,    130,    0
1178395,    128,    131,    0
1178426,    128,    131,    0
1178457,    128,    130,    0
1178488,    128,    130,    0
1178519,    128,    131,    0
1178550,    128,    129,    0
1178582,    128,    131,    0
1178612,    128,    129,    0
1178643,    128,    139,    0
1178675,    128,    129,    0
1178705,    128,    130,    0
1178737,    128,    133,    0
1178768,    128,    131,    0
1178798,    128,    130,    0
1178830,    128,    132,    0
1178861,    128,    131,    0
1178892,    128,    130,    0
1178923,    128,    132,    0
1178954,    128,    131,    0
1178985,    128,    131,    0
1179015,    128,    130,    0
1179046,    128,    130,    0
1179077,    128,    131,    0
1179108,    128,    130,    0
1179140,    128,    132,    0
1179171,    128,    130,    0
1179201,    128,    131,    0
1179233,    128,    130,    0
1179264,    128,    135,    0
1179295,    128,    130,    0
1179326,    128,    134,    0
1179357,    128,    133,    0
1179387,    128,    135,    0
1179419,    128,    130,    0
1179450,    128,    131,    0
1179481,    128,    135,    0
1179511,    128,    130,    0
1179543,    128,    131,    0
1179573,    128,    131,    0
1179606,    128,    131,    0
1179636,    128,    131,    0
1179667,    128,    131,    0
1179698,    128,    130,    0
1179730,    128,    129,    0
1179761,    128,    130,    0
1179792,    128,    124,    0
1179822,    128,    122,    0
1179853,    128,    122,    0
1179885,    128,    117,    0
1179916,    128,    113,    0
1179945,    128,    115,    0
1179977,    128,    112,    0
1180008,    128,    119,    0
1180040,    128,    113,    0
1180071,    128,    119,    0
1180101,    128,    114,    0
1180132,    128,    115,    0
1180163,    128,    113,    0
1180195,    128,    119,    0
1180225,    128,    111,    0
1180257,    128,    115,    0
1180286,    128,    112,    0
1180319,    128,    119,    0
1180350,    128,    113,    0
1180381,    128,    116,    0
1180411,    128,    111,    0
1180443,    128,    113,    0
1180474,    128,    111,    0
Benchmark has begun (255 to 128)
1180539,    255,    111,    0
1180572,    255,    119,    0
1180605,    255,    115,    0
1180638,    255,    113,    0
1180670,    255,    116,    0
1180703,    255,    119,    0
1180736,    255,    112,    0
1180768,    255,    122,    0
1180801,    255,    141,    0
1180833,    255,    162,    0
1180866,    255,    187,    0
1180899,    255,    210,    0
1180932,    255,    238,    0
1180964,    255,    238,    0
1180995,    255,    255,    0
1181027,    255,    258,    0
1181057,    255,    255,    0
1181088,    255,    255,    0
1181120,    255,    256,    0
1181150,    255,    258,    0
1181182,    255,    251,    0
1181212,    255,    255,    0
1181244,    255,    258,    0
1181275,    255,    255,    0
1181306,    255,    251,    0
1181336,    255,    251,    0
1181368,    255,    251,    0
1181398,    255,    255,    0
1181430,    255,    250,    0
1181460,    255,    251,    0
1181493,    128,    258,    0
1181526,    128,    255,    0
1181558,    128,    255,    0
1181588,    128,    250,    0
1181621,    128,    251,    0
1181654,    128,    256,    0
1181686,    128,    244,    0
1181716,    128,    235,    0
1181749,    128,    202,    0
1181782,    128,    176,    0
1181814,    128,    156,    0
End to end took: 370
1181877,    128,    122,    0
1181908,    128,    111,    0
1181939,    128,    107,    0
1181969,    128,    100,    0
1182001,    128,    95, 0
1182032,    128,    96, 0
1182062,    128,    98, 0
1182094,    128,    101,    0
1182124,    128,    95, 0
1182156,    128,    95, 0
1182186,    128,    98, 0
1182218,    128,    98, 0
1182249,    128,    100,    0
1182279,    128,    96, 0
1182311,    128,    102,    0
1182342,    128,    95, 0
1182372,    128,    96, 0
1182403,    128,    95, 0
1182434,    128,    96, 0
1182465,    128,    98, 0
1182496,    128,    98, 0
1182527,    128,    98, 0
1182559,    128,    95, 0
1182590,    128,    98, 0
1182621,    128,    95, 0
1182652,    128,    102,    0
1182682,    128,    95, 0
1182713,    128,    95, 0
1182744,    128,    98, 0
1182776,    128,    98, 0
1182806,    128,    98, 0
1182838,    128,    101,    0
1182869,    128,    101,    0
1182900,    128,    99, 0
1182931,    128,    103,    0
1182961,    128,    98, 0
1182992,    128,    99, 0
1183023,    128,    98, 0
1183055,    128,    103,    0
1183085,    128,    99, 0
1183117,    128,    103,    0
1183147,    128,    109,    0
1183179,    128,    102,    0
1183210,    128,    109,    0
1183240,    128,    102,    0
1183272,    128,    110,    0
1183303,    128,    109,    0
1183333,    128,    105,    0
1183365,    128,    109,    0
1183395,    128,    110,    0
1183426,    128,    109,    0
1183458,    128,    114,    0
1183488,    128,    119,    0
1183519,    128,    116,    0
1183551,    128,    113,    0
1183581,    128,    119,    0
1183612,    128,    117,    0
1183644,    128,    126,    0
1183674,    128,    122,    0
1183705,    128,    128,    0
1183737,    128,    121,    0
1183767,    128,    123,    0
1183798,    128,    122,    0
1183830,    128,    122,    0
1183860,    128,    128,    0
1183891,    128,    122,    0
1183922,    128,    128,    0
1183953,    128,    122,    0
1183984,    128,    122,    0
1184015,    128,    128,    0
1184047,    128,    122,    0
1184077,    128,    120,    0
1184108,    128,    118,    0
1184140,    128,    122,    0
1184169,    128,    127,    0
1184202,    128,    118,    0
1184233,    128,    122,    0
1184263,    128,    122,    0
1184295,    128,    121,    0
1184326,    128,    120,    0
1184356,    128,    122,    0
1184388,    128,    122,    0
1184419,    128,    121,    0
1184449,    128,    122,    0
1184522,    128,    119,    0
1184552,    128,    121,    0
1184583,    128,    120,    0
1184615,    128,    122,    0
1184646,    128,    127,    0
1184677,    128,    128,    0
1184707,    128,    127,    0
1184739,    128,    122,    0
1184770,    128,    127,    0
1184800,    128,    119,    0
1184831,    128,    122,    0
1184862,    128,    119,    0
1184893,    128,    118,    0
1184925,    128,    122,    0
1184956,    128,    126,    0
1184987,    128,    123,    0
1185017,    128,    122,    0
1185049,    128,    120,    0
1185080,    128,    122,    0
1185110,    128,    122,    0
1185141,    128,    128,    0
1185172,    128,    119,    0
1185204,    128,    122,    0
1185234,    128,    122,    0
1185266,    128,    122,    0
1185297,    128,    122,    0
1185327,    128,    118,    0
1185359,    128,    122,    0
1185389,    128,    120,    0
1185421,    128,    120,    0
1185451,    128,    122,    0
1185482,    128,    128,    0
1185514,    128,    118,    0
1185545,    128,    122,    0
1185576,    128,    122,    0
1185607,    128,    122,    0
1185638,    128,    121,    0
1185668,    128,    118,    0
1185699,    128,    122,    0
1185731,    128,    119,    0
1185761,    128,    126,    0
1185793,    128,    128,    0
1185824,    128,    120,    0
1185854,    128,    122,    0
1185886,    128,    121,    0
1185917,    128,    119,    0
1185948,    128,    127,    0
1185978,    128,    122,    0
1186009,    128,    122,    0
1186040,    128,    122,    0
1186071,    128,    123,    0
1186103,    128,    118,    0
1186132,    128,    122,    0
1186165,    128,    122,    0
1186196,    128,    122,    0
1186227,    128,    122,    0
1186259,    128,    119,    0
1186289,    128,    118,    0
1186320,    128,    128,    0
1186352,    128,    121,    0
1186382,    128,    122,    0
1186414,    128,    118,    0
1186444,    128,    120,    0
1186476,    128,    122,    0
1186506,    128,    122,    0
1186538,    128,    128,    0
1186568,    128,    128,    0
1186600,    128,    119,    0
1186630,    128,    128,    0
1186662,    128,    122,    0
1186692,    128,    120,    0
1186724,    128,    122,    0
1186755,    128,    120,    0
1186786,    128,    121,    0
1186816,    128,    122,    0
1186847,    128,    118,    0
1186878,    128,    122,    0
1186909,    128,    121,    0
1186941,    128,    121,    0
1186971,    128,    122,    0
1187003,    128,    119,    0
1187033,    128,    121,    0
1187065,    128,    128,    0
1187095,    128,    124,    0
1187127,    128,    128,    0
1187158,    128,    122,    0
1187189,    128,    122,    0
1187219,    128,    121,    0
1187250,    128,    128,    0
Benchmark has begun (0 to 128)
1187314,    0,  121,    0
1187345,    0,  119,    0
1187376,    0,  122,    0
1187409,    0,  120,    0
1187440,    0,  122,    0
1187471,    0,  118,    0
1187502,    0,  120,    0
1187534,    0,  118,    0
1187565,    0,  112,    0
1187599,    0,  92, 0
1187631,    0,  68, 0
1187663,    0,  48, 0
1187695,    0,  26, 0
1187725,    0,  10, 0
1187756,    0,  -10,    0
1187787,    0,  -12,    0
1187819,    0,  -23,    0
1187850,    0,  -15,    0
1187881,    0,  -15,    0
1187912,    0,  -12,    0
1187942,    0,  -16,    0
1187974,    0,  -23,    0
1188004,    0,  -14,    0
1188036,    0,  -14,    0
1188066,    0,  -22,    0
1188097,    0,  -23,    0
1188129,    0,  -12,    0
1188159,    0,  -12,    0
1188191,    0,  -14,    0
1188222,    128,    -20,    0
1188254,    128,    -15,    0
1188287,    128,    -15,    0
1188320,    128,    -20,    0
