millis(), steeringRef, steering sensor, acceleration
112846, 128,    139,    0
112877, 128,    144,    0
112909, 128,    136,    0
112940, 128,    140,    0
112971, 128,    137,    0
113002, 128,    144,    0
113033, 128,    141,    0
113064, 128,    139,    0
113095, 128,    137,    0
113126, 128,    143,    0
113157, 128,    141,    0
113187, 128,    136,    0
113218, 128,    141,    0
113249, 128,    141,    0
113280, 128,    141,    0
113312, 128,    141,    0
113343, 128,    141,    0
113373, 128,    137,    0
113405, 128,    144,    0
113436, 128,    138,    0
113467, 128,    139,    0
113498, 128,    137,    0
113529, 128,    139,    0
113560, 128,    141,    0
113591, 128,    139,    0
113620, 128,    143,    0
113652, 128,    137,    0
113683, 128,    141,    0
113714, 128,    137,    0
113745, 128,    141,    0
113776, 128,    144,    0
113808, 128,    137,    0
113838, 128,    141,    0
113869, 128,    141,    0
113901, 128,    141,    0
113932, 128,    137,    0
113963, 128,    141,    0
113993, 128,    143,    0
114024, 128,    136,    0
114055, 128,    144,    0
114086, 128,    137,    0
114117, 128,    139,    0
114148, 128,    139,    0
114179, 128,    137,    0
114211, 128,    139,    0
114242, 128,    144,    0
114273, 128,    137,    0
114304, 128,    137,    0
114335, 128,    144,    0
114365, 128,    139,    0
114397, 128,    137,    0
114427, 128,    139,    0
114458, 128,    144,    0
114489, 128,    139,    0
114520, 128,    136,    0
114551, 128,    136,    0
114583, 128,    141,    0
114614, 128,    138,    0
114646, 128,    143,    0
114677, 128,    144,    0
114708, 128,    137,    0
114739, 128,    141,    0
114769, 128,    140,    0
114801, 128,    136,    0
114831, 128,    139,    0
114862, 128,    144,    0
114894, 128,    141,    0
114925, 128,    136,    0
114956, 128,    138,    0
114987, 128,    137,    0
115018, 128,    141,    0
115049, 128,    137,    0
115080, 128,    139,    0
115111, 128,    137,    0
115142, 128,    136,    0
115172, 128,    141,    0
115204, 128,    137,    0
115236, 128,    141,    0
115267, 128,    137,    0
115298, 128,    136,    0
115328, 128,    137,    0
115360, 128,    141,    0
115391, 128,    137,    0
115422, 128,    137,    0
115452, 128,    144,    0
115483, 128,    137,    0
115515, 128,    141,    0
115546, 128,    137,    0
115577, 128,    137,    0
115608, 128,    137,    0
115639, 128,    139,    0
115668, 128,    136,    0
115700, 128,    139,    0
115732, 128,    141,    0
115763, 128,    138,    0
115793, 128,    138,    0
115824, 128,    137,    0
115856, 128,    137,    0
115887, 128,    137,    0
115918, 128,    139,    0
115948, 128,    137,    0
115979, 128,    136,    0
116009, 128,    136,    0
116041, 128,    141,    0
116073, 128,    137,    0
116104, 128,    141,    0
116134, 128,    139,    0
116166, 128,    137,    0
116197, 128,    136,    0
Benchmark has begun (255 to 128)
116258, 255,    139,    0
116291, 255,    137,    0
116324, 255,    139,    0
116354, 255,    141,    0
116386, 255,    151,    0
116416, 255,    168,    0
116449, 255,    191,    0
116482, 255,    200,    0
116514, 255,    221,    0
116547, 255,    226,    0
116580, 255,    241,    0
116610, 255,    242,    0
116641, 255,    239,    0
116672, 255,    244,    0
116703, 255,    242,    0
116734, 255,    248,    0
116767, 255,    244,    0
116798, 255,    245,    0
116828, 255,    242,    0
116860, 255,    248,    0
116891, 255,    239,    0
116922, 255,    242,    0
116952, 255,    233,    0
116983, 255,    244,    0
117014, 255,    242,    0
117045, 255,    233,    0
117078, 255,    238,    0
117110, 128,    238,    0
117143, 128,    243,    0
117176, 128,    239,    0
117209, 128,    246,    0
117240, 128,    238,    0
117273, 128,    243,    0
117306, 128,    238,    0
117336, 128,    242,    0
117368, 128,    244,    0
117398, 128,    232,    0
117431, 128,    244,    0
117460, 128,    244,    0
117493, 128,    232,    0
117523, 128,    234,    0
117556, 128,    213,    0
117588, 128,    206,    0
117618, 128,    193,    0
117651, 128,    182,    0
117681, 128,    174,    0
117713, 128,    166,    0
117743, 128,    162,    0
117776, 128,    150,    0
117806, 128,    150,    0
117838, 128,    152,    0
117868, 128,    145,    0
117901, 128,    153,    0
117931, 128,    145,    0
117963, 128,    151,    0
117993, 128,    153,    0
118026, 128,    145,    0
118059, 128,    147,    0
118091, 128,    143,    0
118124, 128,    147,    0
118157, 128,    143,    0
118190, 128,    147,    0
118221, 128,    143,    0
118254, 128,    147,    0
118287, 128,    143,    0
118317, 128,    145,    0
118349, 128,    144,    0
118379, 128,    144,    0
118412, 128,    145,    0
118441, 128,    144,    0
118474, 128,    145,    0
118504, 128,    152,    0
118537, 128,    145,    0
118569, 128,    152,    0
118599, 128,    151,    0
118632, 128,    145,    0
118662, 128,    152,    0
118694, 128,    145,    0
118724, 128,    154,    0
118757, 128,    145,    0
118787, 128,    145,    0
End to end took: 1724
118851, 128,    136,    0
118881, 128,    131,    0
118912, 128,    129,    0
118943, 128,    126,    0
118975, 128,    124,    0
119005, 128,    123,    0
119037, 128,    126,    0
119068, 128,    127,    0
119098, 128,    122,    0
119129, 128,    117,    0
119160, 128,    120,    0
119192, 128,    122,    0
119222, 128,    117,    0
119254, 128,    117,    0
119285, 128,    118,    0
119316, 128,    121,    0
119347, 128,    120,    0
119377, 128,    122,    0
119409, 128,    128,    0
119439, 128,    119,    0
119471, 128,    120,    0
119502, 128,    122,    0
119532, 128,    127,    0
119564, 128,    120,    0
119593, 128,    120,    0
119626, 128,    117,    0
119656, 128,    122,    0
119687, 128,    120,    0
119718, 128,    122,    0
119749, 128,    128,    0
119781, 128,    120,    0
119812, 128,    122,    0
119843, 128,    121,    0
119873, 128,    118,    0
119904, 128,    118,    0
119934, 128,    120,    0
119966, 128,    118,    0
119998, 128,    118,    0
120028, 128,    119,    0
120060, 128,    120,    0
120091, 128,    122,    0
120122, 128,    120,    0
120152, 128,    121,    0
