76781,  128,    128,    0
Benchmark has begun (255 to 128)
77825,  255,    133,    0
77857,  255,    126,    0
77890,  255,    124,    0
77923,  255,    128,    0
77955,  255,    125,    0
77987,  255,    124,    0
78020,  255,    128,    0
78053,  255,    125,    0
78086,  255,    124,    0
78117,  255,    131,    0
78150,  255,    131,    0
78183,  255,    141,    0
78216,  255,    139,    0
78248,  255,    131,    0
78280,  255,    136,    0
78313,  255,    145,    0
78343,  255,    145,    0
78375,  255,    150,    0
78408,  255,    164,    0
78441,  255,    166,    0
78473,  255,    163,    0
78505,  255,    168,    0
78535,  255,    170,    0
78568,  255,    172,    0
78601,  255,    173,    0
78633,  255,    179,    0
78665,  255,    175,    0
78698,  255,    175,    0
78731,  255,    179,    0
78764,  255,    175,    0
78796,  255,    175,    0
78828,  255,    179,    0
78861,  255,    175,    0
78891,  255,    181,    0
78923,  255,    185,    0
78956,  255,    175,    0
78989,  255,    174,    0
79021,  255,    184,    0
79053,  255,    174,    0
79083,  255,    185,    0
79116,  255,    179,    0
79149,  255,    175,    0
79181,  255,    184,    0
79213,  255,    185,    0
79246,  255,    179,    0
79276,  255,    181,    0
79308,  255,    191,    0
79341,  255,    183,    0
79374,  255,    187,    0
79406,  255,    198,    0
79438,  255,    198,    0
79471,  255,    200,    0
79504,  255,    208,    0
79537,  255,    201,    0
79568,  255,    217,    0
79601,  255,    210,    0
79631,  255,    200,    0
79664,  255,    215,    0
79696,  255,    216,    0
79729,  255,    200,    0
79761,  255,    215,    0
79794,  255,    209,    0
79826,  255,    206,    0
79859,  255,    217,    0
79892,  255,    202,    0
79924,  255,    206,    0
79956,  255,    217,    0
79989,  255,    206,    0
80022,  255,    219,    0
80055,  255,    213,    0
80087,  255,    208,    0
80119,  255,    220,    0
80152,  255,    206,    0
80185,  255,    217,    0
80217,  255,    229,    0
80249,  255,    213,    0
80282,  255,    220,    0
80315,  255,    213,    0
80348,  255,    219,    0
80379,  255,    221,    0
80412,  255,    224,    0
80445,  255,    234,    0
80478,  255,    229,    0
80510,  255,    234,    0
80542,  255,    240,    0
80575,  255,    225,    0
80605,  255,    238,    0
80637,  255,    227,    0
80670,  255,    238,    0
80703,  255,    241,    0
80735,  255,    234,    0
80768,  255,    241,    0
80800,  255,    234,    0
80833,  255,    241,    0
80866,  255,    226,    0
80898,  255,    242,    0
80930,  255,    229,    0
80960,  255,    238,    0
80993,  255,    236,    0
81026,  255,    238,    0
81058,  255,    240,    0
81090,  255,    226,    0
81123,  255,    241,    0
81153,  255,    229,    0
81185,  255,    241,    0
81218,  255,    229,    0
81251,  255,    242,    0
81283,  255,    229,    0
81315,  255,    225,    0
81345,  255,    229,    0
81378,  255,    226,    0
81411,  255,    240,    0
81443,  255,    226,    0
81475,  255,    241,    0
81508,  255,    226,    0
81539,  255,    232,    0
81569,  255,    244,    0
81600,  255,    232,    0
81631,  255,    238,    0
81664,  255,    232,    0
81695,  255,    237,    0
81726,  255,    237,    0
81756,  255,    245,    0
81788,  255,    244,    0
81818,  255,    244,    0
81849,  255,    232,    0
81881,  255,    227,    0
81911,  255,    238,    0
81943,  255,    238,    0
81974,  255,    232,    0
82006,  255,    232,    0
82036,  255,    244,    0
82067,  255,    232,    0
82098,  255,    243,    0
82129,  255,    238,    0
82161,  255,    238,    0
82192,  255,    244,    0
82223,  255,    244,    0
82254,  255,    243,    0
82284,  255,    243,    0
82315,  255,    232,    0
82345,  255,    243,    0
82378,  255,    238,    0
82409,  255,    232,    0
82440,  255,    232,    0
82470,  255,    232,    0
82502,  255,    238,    0
82534,  128,    238,    0
82566,  128,    227,    0
82598,  128,    244,    0
82628,  128,    227,    0
82661,  128,    245,    0
82694,  128,    238,    0
82726,  128,    242,    0
82758,  128,    238,    0
82791,  128,    227,    0
82821,  128,    244,    0
